berkas,stem_asli,grup,subset
12988780_MTAwMC03OTUtYTcxNGRiOGUwZQ_jpg.rf.8lz0Os79I8z4nGjMI4kv.jpg,12988780_MTAwMC03OTUtYTcxNGRiOGUwZQ,12988780_MTAwMC03OTUtYTcxNGRiOGUwZQ,train
1365-_jpg.rf.51misGtBLzUj4L1RdowA.jpg,1365-,1365-,train
13661875-825756007524474-53594221530_jpg.rf.YICOgtrQYHvuMjUm5UEj.jpg,13661875-825756007524474-53594221530,13661875-825756007524474,train
1500x500_jpg.rf.0r00Az34JeLKH3C2vzoP.jpg,1500x500,1500x500,train
1553233damri780x390_jpg.rf.rLLAB7tMKodSAmDpCIkY.jpg,1553233damri780x390,1553233damri780x390,train
1559104773084_png_jpg.rf.aFpcCAI8oS558FuPu3MJ.jpg,1559104773084_png,1559104773084_png,train
15690333345d858c76c4523_1--2-_jpeg_jpg.rf.l2tvZ6trUIEKQUklvGSb.jpg,15690333345d858c76c4523_1--2-_jpeg,15690333345d858c76c4523_1--2-_jpeg,train
15832118185e5de52ab6203_1_jpeg_jpg.rf.T0A6AkfOITDe1L8Wn5BZ.jpg,15832118185e5de52ab6203_1_jpeg,15832118185e5de52ab6203_1_jpeg,train
15838034105e66ec12e5fcb_1_jpeg_jpg.rf.BSlt567alkRUPxeQZojk.jpg,15838034105e66ec12e5fcb_1_jpeg,15838034105e66ec12e5fcb_1_jpeg,train
1585052231_bigbus1-jpg_jpg.rf.pMFic0kBiXvPwpAByovH.jpg,1585052231_bigbus1-jpg,1585052231_bigbus1-jpg,train
15865708705e912676c62ec_1_jpeg_jpg.rf.xvV6ax3p5qn5dT0PYG5R.jpg,15865708705e912676c62ec_1_jpeg,15865708705e912676c62ec_1_jpeg,train
1598286031-20130714_082914-1024x768_jpg.rf.HpX39XFfCmkCvPKAOrJL.jpg,1598286031-20130714_082914-1024x768,1598286031-20130714_082914-1024x768,train
1606141526137-damri_jpg.rf.gpCa5CIbpzogYW15YADm.jpg,1606141526137-damri,1606141526137-damri,train
16095712995ff01be38f194_1_jpeg_jpg.rf.3y2DpzHoVO0YY96FdUc2.jpg,16095712995ff01be38f194_1_jpeg,16095712995ff01be38f194_1_jpeg,train
16100655265ff7a67692bbe_1_jpeg_jpg.rf.jbuCbA2ONRnP3Pj4v7Xp.jpg,16100655265ff7a67692bbe_1_jpeg,16100655265ff7a67692bbe_1_jpeg,train
16106091855ffff2217285d_1--2-_jpeg_jpg.rf.fYYIeGDzvgk414Ivx1tc.jpg,16106091855ffff2217285d_1--2-_jpeg,16106091855ffff2217285d_1--2-_jpeg,train
16127363856_2a23581a99_b-0_jpg.rf.CXmq6xRFH6rgqnoiTcm7.jpg,16127363856_2a23581a99_b-0,16127363856_2a23581a99_b,train
161483562560406fa90b7d6_1_jpeg_jpg.rf.aAtkmmDLtKcoH0V5zq8T.jpg,161483562560406fa90b7d6_1_jpeg,161483562560406fa90b7d6_1_jpeg,train
1616649101605c1b8d5bded_1_jpeg_jpg.rf.SKW4WB0ZJZOWxCiY35Pk.jpg,1616649101605c1b8d5bded_1_jpeg,1616649101605c1b8d5bded_1_jpeg,train
17828_5789ACS01_2_jpg.rf.hIyHP5yUmWhxWu180ccK.jpg,17828_5789ACS01_2,17828_5789ACS01,train
17828_5789AHS01_17-1_jpg.rf.2kkA48uFTbarb4DwAy0D.jpg,17828_5789AHS01_17-1,17828_5789AHS01_17,train
17828_6080AFS01_7-1_jpg.rf.K1xPhAVcmkfLVs9J9HE5.jpg,17828_6080AFS01_7-1,17828_6080AFS01_7,train
1839353249_jpg.rf.J9KnzlTZ9MoKsyskIzC1.jpg,1839353249,1839353249,train
184-07_jpg.rf.htxoGssoBtMcM3xkTmik.jpg,184-07,184,train
19575a5n4f_jpg.rf.8v4JuMitQiOzLrKFntd1.jpg,19575a5n4f,19575a5n4f,train
1986-Mitsubishi-FM_34050076-l_jpg.rf.O0dYSjOSS6g1kkgrZqx1.jpg,1986-Mitsubishi-FM_34050076-l,1986-Mitsubishi-FM_34050076-l,train
1990-mitsubishi-fuso-fk-flatbed-dump_jpg.rf.KKYYPXfvPjYSuUmCe39E.jpg,1990-mitsubishi-fuso-fk-flatbed-dump,1990-mitsubishi-fuso-fk-flatbed-dump,train
1992-Mitsubishi-FUSO-Fighter-private_jpg.rf.9bXq0p3ezO2s4JjNoQYO.jpg,1992-Mitsubishi-FUSO-Fighter-private,1992-Mitsubishi-FUSO-Fighter-private,train
1992-Mitsubishi-Great-10-Wheeler-Dum_jpg.rf.WdxcVhGKNz3KaecVpFMo.jpg,1992-Mitsubishi-Great-10-Wheeler-Dum,1992-Mitsubishi-Great-10-Wheeler-Dum,train
1997-mitsubishi-fuso-fh211-20-ft-box_jpg.rf.Wm81SW7P5tHqXwYm0hDq.jpg,1997-mitsubishi-fuso-fh211-20-ft-box,1997-mitsubishi-fuso-fh211-20-ft-box,train
1997_mitsubishi_fuso_cab_over_box_tr-1_jpg.rf.vqv9kOhwQp6YIe7km51K.jpg,1997_mitsubishi_fuso_cab_over_box_tr-1,1997_mitsubishi_fuso_cab_over_box_tr,train
1_1_jpg.rf.SZ7yetOhQSShmXal2O1J.jpg,1_1,1,test
1BCE466D-FE13-4738-8CE1-752980A1622F_jpg.rf.gn4m5u6D7ZFwvuMYDnp7.jpg,1BCE466D-FE13-4738-8CE1-752980A1622F,1BCE466D-FE13-4738-8CE1-752980A1622F,train
2000-Mitsubishi-Fuso-68-3886156_1_jpg.rf.4FzKh1VxVEP0LPmX49KU.jpg,2000-Mitsubishi-Fuso-68-3886156_1,2000-Mitsubishi-Fuso-68-3886156,train
2000-mitsubishi-fuso-fe639-diesel-bo_jpg.rf.TZR3LLyLsLACQFJyb0yA.jpg,2000-mitsubishi-fuso-fe639-diesel-bo,2000-mitsubishi-fuso-fe639-diesel-bo,train
2000-mitsubishi-fuso-fm617-box-truck_jpg.rf.3OTDeaA86X2KCXOTT0P6.jpg,2000-mitsubishi-fuso-fm617-box-truck,2000-mitsubishi-fuso-fm617-box-truck,train
2003-mitsubishi-fuso-box-truck-26253_jpg.rf.l1ogXMrGVTRvrrx78MjH.jpg,2003-mitsubishi-fuso-box-truck-26253,2003-mitsubishi-fuso-box-truck,train
2004-mitsubishi-fuso-box-van-body-tr_jpg.rf.0v9mW8Me26uMdTbWqh2P.jpg,2004-mitsubishi-fuso-box-van-body-tr,2004-mitsubishi-fuso-box-van-body-tr,train
2005-mitsubishi-fuso-fm260-18ft-dies-2_jpg.rf.p2kHTS3QvWRWWjkjyf5R.jpg,2005-mitsubishi-fuso-fm260-18ft-dies-2,2005-mitsubishi-fuso-fm260-18ft-dies,test
2005-mitsubishi-fuso-fm260-18ft-dies-3_jpg.rf.2gHEqMSHoay5guuHWS4X.jpg,2005-mitsubishi-fuso-fm260-18ft-dies-3,2005-mitsubishi-fuso-fm260-18ft-dies,test
2005-mitsubishi-fuso-fm260-24ft-box-2_jpg.rf.u4LU8hgcYzCidsXYCW3p.jpg,2005-mitsubishi-fuso-fm260-24ft-box-2,2005-mitsubishi-fuso-fm260-24ft-box,valid
2005-mitsubishi-fuso-fm260-24ft-box-4_jpg.rf.22KOGNT2wAmhJ3yL384l.jpg,2005-mitsubishi-fuso-fm260-24ft-box-4,2005-mitsubishi-fuso-fm260-24ft-box,valid
2006-mitsubishi-fuso-fe140-16-box-tr_jpg.rf.1cDjGxItqxSHjNc4Uz0x.jpg,2006-mitsubishi-fuso-fe140-16-box-tr,2006-mitsubishi-fuso-fe140-16-box-tr,train
2006-mitsubishi-fuso-fm260-cars-in-r_jpg.rf.3atklsmzhmxLL5N5NR4G.jpg,2006-mitsubishi-fuso-fm260-cars-in-r,2006-mitsubishi-fuso-fm260-cars-in-r,train
2007-mitsubishi-fuso-fe-140-landscap-1_jpg.rf.2H3LFOLObnUYwhCOjvmZ.jpg,2007-mitsubishi-fuso-fe-140-landscap-1,2007-mitsubishi-fuso-fe-140-landscap,train
2007-Mitsubishi-Fuso-Fighter-FK600_5_jpg.rf.l0JgCJbrJnD1bvfff3lI.jpg,2007-Mitsubishi-Fuso-Fighter-FK600_5,2007-Mitsubishi-Fuso-Fighter-FK600,train
2007-mitsubishi-fuso-fk200-24ft-box-1_jpg.rf.GMxQ4Fv1KTOJ4etH2Uv9.jpg,2007-mitsubishi-fuso-fk200-24ft-box-1,2007-mitsubishi-fuso-fk200-24ft-box,train
2008-mitsubishi-fuso-wrecker-tow-tru-1_jpg.rf.I1CDQwYMLSGDAbJZXOoC.jpg,2008-mitsubishi-fuso-wrecker-tow-tru-1,2008-mitsubishi-fuso-wrecker-tow-tru,train
2010-mitsubishi-fuso-fe145-12ft-box-1_jpg.rf.GwEj4du5UasAfa42SrnG.jpg,2010-mitsubishi-fuso-fe145-12ft-box-1,2010-mitsubishi-fuso-fe145-12ft-box,train
2010-mitsubishi-fuso-fe145-12ft-box-_jpg.rf.6Dbn8wUOhxgWWYT395GE.jpg,2010-mitsubishi-fuso-fe145-12ft-box-,2010-mitsubishi-fuso-fe145-12ft-box-,train
2011-03-03-037_jpg.rf.ev6xb8Np8ZR6WtnVoTke.jpg,2011-03-03-037,2011-03-03,train
2012-04-08-16-00-45-Copy_jpg.rf.02b6N8bLxDTpJCEozUAg.jpg,2012-04-08-16-00-45-Copy,2012-04-08-16-00-45-Copy,train
2012-05-19-14-47-41_jpg.rf.vjpiYoSsxruWcoMaD6Hp.jpg,2012-05-19-14-47-41,2012-05-19-14-47,train
2012-11-26-09-11-19-2_jpg.rf.drvtCAjDDjNn4hZpqv9u.jpg,2012-11-26-09-11-19-2,2012-11-26-09-11-19,train
2012-mitsubishi-fuso-canter-fe160-du_jpg.rf.KN2GdacMBih2T69Z5JQB.jpg,2012-mitsubishi-fuso-canter-fe160-du,2012-mitsubishi-fuso-canter-fe160-du,train
2012-mitsubishi-fuso-fe160-16ft-dump-1_jpg.rf.I8uAfUgJeJhU21uSQOq0.jpg,2012-mitsubishi-fuso-fe160-16ft-dump-1,2012-mitsubishi-fuso-fe160-16ft-dump,valid
2012-mitsubishi-fuso-fe160-16ft-dump-2_jpg.rf.gMf0kMtzrIUh6P97pcM6.jpg,2012-mitsubishi-fuso-fe160-16ft-dump-2,2012-mitsubishi-fuso-fe160-16ft-dump,valid
2013-Mitsubishi-18ft-Refrigerated-Va_jpg.rf.t4FWBweHRDzyUVyuPQin.jpg,2013-Mitsubishi-18ft-Refrigerated-Va,2013-Mitsubishi-18ft-Refrigerated-Va,train
2013-Mitsubishi-Fuso-Canter-7C15-PBU_jpg.rf.SUCGbB0dy3QxoHzttisQ.jpg,2013-Mitsubishi-Fuso-Canter-7C15-PBU,2013-Mitsubishi-Fuso-Canter-7C15-PBU,train
20130601_104548_jpg.rf.JLdU4c6rrlp5m7MObF1y.jpg,20130601_104548,20130601,train
20130712092311711_jpg.rf.ZtJTDFnzeDgNvHGno8Uq.jpg,20130712092311711,20130712092311711,train
2014-mitsubishi-canter-truck-7mnuxba_jpg.rf.rmsF2OfXjAGBFe53a2pL.jpg,2014-mitsubishi-canter-truck-7mnuxba,2014-mitsubishi-canter-truck-7mnuxba,train
2014-mitsubishi-fuso-fe160-14-feet-b_jpg.rf.KAOwU6jvjKscwC0DxTVq.jpg,2014-mitsubishi-fuso-fe160-14-feet-b,2014-mitsubishi-fuso-fe160-14-feet-b,train
2015-Mitsubishi-Fuso-Canter-7C15-4x2-1_jpg.rf.aLDkqGlvJyz4HE9K8Pf5.jpg,2015-Mitsubishi-Fuso-Canter-7C15-4x2-1,2015-Mitsubishi-Fuso-Canter-7C15-4x2,train
2015-mitsubishi-fuso-fe180-dual-tech_jpg.rf.cSEYZkb6aM7ryCigTIRa.jpg,2015-mitsubishi-fuso-fe180-dual-tech,2015-mitsubishi-fuso-fe180-dual-tech,train
20161205bandara-soetta-tingkatkan-pe_jpg.rf.gANyiJJuC7ogfmJ808iG.jpg,20161205bandara-soetta-tingkatkan-pe,20161205bandara-soetta-tingkatkan-pe,train
2016_Pink_Bus_Side_2-5694faf30153d_jpg.rf.kQ8BeC9Kzuhj3DV2Qav4.jpg,2016_Pink_Bus_Side_2-5694faf30153d,2016_Pink_Bus_Side_2-5694faf30153d,train
201707170712_fuso-1024x512_jpg.rf.fNXAmII2Z4oWzIEdt7ya.jpg,201707170712_fuso-1024x512,201707170712_fuso-1024x512,train
20170820170814udtrucks-2-1024x542_jpg.rf.1Qwsuhe5wfd9Bs1jjdQW.jpg,20170820170814udtrucks-2-1024x542,20170820170814udtrucks-2-1024x542,train
20170820170831fuso-1-1024x674_jpg.rf.eGhYZlpjprueen9n47v9.jpg,20170820170831fuso-1-1024x674,20170820170831fuso-1-1024x674,train
20171120171117volvo-2_jpg.rf.TegkjqZ9J0MGuHkIijO5.jpg,20171120171117volvo-2,20171120171117volvo,train
201802083530877_jpg.rf.N398cQQZh7Ra5zEwilB8.jpg,201802083530877,sesi-20180208,valid
201802083545072_jpg.rf.dkn9v0Xhqm2IQAlPUAC6.jpg,201802083545072,sesi-20180208,valid
201802083545087_jpg.rf.quWqiF8mukNZ9U57dnkE.jpg,201802083545087,sesi-20180208,valid
201802153766039_jpg.rf.I7QSd1kiuyHuwBgfDzjj.jpg,201802153766039,sesi-20180215,train
201811092280624_jpg.rf.hvrvaoliop76n9KZFQdA.jpg,201811092280624,sesi-20181109,train
201811212628734_jpg.rf.pVlyuVr8vSlEmgKTW7SY.jpg,201811212628734,sesi-20181121,train
2018_07_16_49373_1531739307-_large_jpg.rf.pDPvRxaSSVvnMw0Aksc1.jpg,2018_07_16_49373_1531739307-_large,2018_07_16_49373_1531739307-_large,valid
201902195101581_jpg.rf.pd9nrbjC9WqdeYtpYTdU.jpg,201902195101581,sesi-20190219,train
201907180193097_jpg.rf.XVuO6qh8y0UtINaidkGH.jpg,201907180193097,sesi-20190718,train
201908291631929_jpg.rf.1mBuvFFkxuAHzO72SVDj.jpg,201908291631929,sesi-20190829,train
201910022856907_jpg.rf.Tve5URmM5odQL6PgJPLw.jpg,201910022856907,sesi-20191002,train
201911274791996_jpg.rf.xb7UlcMQjh9IJ41WhunS.jpg,201911274791996,sesi-20191127,train
201912065091481_jpg.rf.uUpsPyVAQvoQF10uFgYV.jpg,201912065091481,sesi-20191206,train
202001065830933_jpg.rf.68mCIVULSN8X3R2EiFio.jpg,202001065830933,sesi-20200106,train
202001316814739_jpg.rf.DhSFdt3FOw2Ld4pSWGkB.jpg,202001316814739,sesi-20200131,train
202002077047573_jpg.rf.9Awq6QvJRGvCrz6zQ0hA.jpg,202002077047573,sesi-20200207,train
202002117212341_jpg.rf.gDXe9FL8PHZj3UQtzifB.jpg,202002117212341,sesi-20200211,valid
202002197506403_jpg.rf.XiFDHKjZYbjbbzyiXbv3.jpg,202002197506403,sesi-20200219,train
202003098200296_jpg.rf.e7JhGGxmLsSx6oyDQp6c.jpg,202003098200296,sesi-20200309,train
202003118281574_jpg.rf.Y5Qvvou92czKqscnE24P.jpg,202003118281574,sesi-20200311,train
202003278769684_jpg.rf.e7C6opzCc5c4pIWBceJI.jpg,202003278769684,sesi-20200327,train
202004098907520_jpg.rf.zBDTjgtYwSh9faxxqosa.jpg,202004098907520,sesi-20200409,train
202005139300424_jpg.rf.Wed0Qpgi0K4kowc4EdsR.jpg,202005139300424,sesi-20200513,test
202005139308815_jpg.rf.fMjFWT4ae0HhHQMVrg74.jpg,202005139308815,sesi-20200513,test
202005159339270_jpg.rf.rxaCWjlWyMJs5WNJG02d.jpg,202005159339270,sesi-20200515,train
202005209438910_jpg.rf.PsvdSfiIDtOiDlC4Cx5E.jpg,202005209438910,sesi-20200520,train
202006029718364_jpg.rf.MgVQIxQ7lnNjHpY0PgPy.jpg,202006029718364,sesi-20200602,train
202006230427756_jpg.rf.HWAdkNuafgLLvUBxG7NO.jpg,202006230427756,sesi-20200623,train
20200917144648814126_jpg.rf.wOAZzsCHkchESqf1OfHB.jpg,20200917144648814126,20200917144648814126,train
202009224056905_jpg.rf.NrV1u0Lc4GNUgTyVY9wk.jpg,202009224056905,sesi-20200922,train
202009284297022_jpg.rf.Pzai3ihVeO9T8zx8aV5a.jpg,202009284297022,sesi-20200928,train
202009294341174_jpg.rf.PnzivErZgHnZ0YkS0QjR.jpg,202009294341174,sesi-20200929,train
202010034560843_jpg.rf.2vDmzfZx6LOEfleCF3j3.jpg,202010034560843,sesi-20201003,train
202010054625092_jpg.rf.NKYG9N7HXWTVMLidXI7e.jpg,202010054625092,sesi-20201005,train
202010124912669_jpg.rf.RPjHymC5lZwDGZ1GOVMU.jpg,202010124912669,sesi-20201012,train
202010155026858_jpg.rf.B76EsiScoD9sQEoMPX27.jpg,202010155026858,sesi-20201015,train
202010225303345_jpg.rf.wsJ9GTjQhsT7lM2iZY1F.jpg,202010225303345,sesi-20201022,train
202010235351057_jpg.rf.EGo7u1vKlcd2fksLadWz.jpg,202010235351057,sesi-20201023,valid
202010235353490_jpg.rf.axjYxEZNJWcppEHHDy8t.jpg,202010235353490,sesi-20201023,valid
202010265448683_jpg.rf.yDK15bISuiQP0Bd7bl4A.jpg,202010265448683,sesi-20201026,test
202010265449562_jpg.rf.TLJ3BbNJTF54QVcVa218.jpg,202010265449562,sesi-20201026,test
202010275477424_jpg.rf.2k4RPHRxCAHkWJeg7VbI.jpg,202010275477424,sesi-20201027,train
202010285539616_jpg.rf.jem2zOnjqQxzSUgXRTMW.jpg,202010285539616,sesi-20201028,train
202010295584564_jpg.rf.mj2mCdbtX3oUJnhN9iL0.jpg,202010295584564,sesi-20201029,valid
202010315642930_jpg.rf.yprPbS4NbVPQC66MthmV.jpg,202010315642930,sesi-20201031,train
202011035740338_jpg.rf.yAKp3QowOY4m4iVoh4OK.jpg,202011035740338,sesi-20201103,train
202011105965869_jpg.rf.gpnrb3yJAVAy5bs3KHx9.jpg,202011105965869,sesi-20201110,train
202011146111399_jpg.rf.9dllAWO2bi5IMzauH9UE.jpg,202011146111399,sesi-20201114,train
202011156136945_jpg.rf.8X1C1ObdqhGl33qS3kDc.jpg,202011156136945,sesi-20201115,train
202011166161501_jpg.rf.tNGutm3PeRxJDtIwvd6g.jpg,202011166161501,sesi-20201116,train
202011206323102_jpg.rf.IQ6GeUPRkBcyVJ04OFs6.jpg,202011206323102,sesi-20201120,valid
202011206323116_jpg.rf.surGKwwNeMOH0K5wDaLw.jpg,202011206323116,sesi-20201120,valid
202011246441650_jpg.rf.8v7G4jzFEBa6GmhRyIHD.jpg,202011246441650,sesi-20201124,train
202011266499977_jpg.rf.s8xzsyY14ewVNUh6XIZc.jpg,202011266499977,sesi-20201126,train
202011276557437_jpg.rf.PZHNH1oriyJNWl8lxnNY.jpg,202011276557437,sesi-20201127,train
202012076844565_jpg.rf.nLTybmbWofMCNjvCN8ia.jpg,202012076844565,sesi-20201207,train
202012086910997_jpg.rf.DeSRza5VF13oiQBVuFpc.jpg,202012086910997,sesi-20201208,train
202012096922082_jpg.rf.9cpKxP1kpezlLOXRHrnP.jpg,202012096922082,sesi-20201209,valid
202012096936189_jpg.rf.Neg46p88HJnGCPFtpjUZ.jpg,202012096936189,sesi-20201209,valid
202012106961192_jpg.rf.wtxnnyj8dVutZWfbrgct.jpg,202012106961192,sesi-20201210,train
202012116998536_jpg.rf.AsG6uki2QsY8S2d1g0zP.jpg,202012116998536,sesi-20201211,test
202012117003463_jpg.rf.0jxuAx9DqK3MuLNqEsKV.jpg,202012117003463,sesi-20201211,test
20201222_173741_jpg.rf.ilyqK7SoAZCUJP9DJiD4.jpg,20201222_173741,20201222,train
202012237363017_jpg.rf.UbG3DZGQiSqvn3bhl9FB.jpg,202012237363017,sesi-20201223,train
202012317526123_jpg.rf.NW5amcgWnKjizeGEGSiS.jpg,202012317526123,sesi-20201231,train
202101057649698_jpg.rf.9wx3fLm5oWy7jbbLZVq4.jpg,202101057649698,sesi-20210105,train
202101087755642_jpg.rf.d7PGU0rN1L7UmNsR5Mat.jpg,202101087755642,sesi-20210108,valid
202101087761540_jpg.rf.u4MNu1jAgd1kd99mzXon.jpg,202101087761540,sesi-20210108,valid
202101087761588_jpg.rf.PpB8Y0EpbiuCalv1X59Q.jpg,202101087761588,sesi-20210108,valid
202101117854072_jpg.rf.5YBRHFvL8GnABZK1OeBb.jpg,202101117854072,sesi-20210111,train
202101157995164_jpg.rf.u9kH3mYrIAdg77ouj6MQ.jpg,202101157995164,sesi-20210115,train
202101178052430_jpg.rf.WfQFYpPyNqjvYhSNLYvb.jpg,202101178052430,sesi-20210117,train
202101188092986_jpg.rf.EzxY0lxa26n9lAJ3PFmg.jpg,202101188092986,sesi-20210118,train
202101208162338_jpg.rf.96kI1g8wpsIOdMI4cK5U.jpg,202101208162338,sesi-20210120,valid
202101208164791_jpg.rf.Zg2wvJGtSdWldVMPYErZ.jpg,202101208164791,sesi-20210120,valid
202101218224836_jpg.rf.wLvRqhVfPmvPqHwu3BnX.jpg,202101218224836,sesi-20210121,train
202101258335334_jpg.rf.yTzIbfiXQ57DD5uEoktG.jpg,202101258335334,sesi-20210125,train
202101268351623_jpg.rf.UQBaAl0ZkEh1hlNT9CAY.jpg,202101268351623,sesi-20210126,valid
202101268371469_jpg.rf.L2xtk4HDxX3ZSGMd14nS.jpg,202101268371469,sesi-20210126,valid
202101288451078_jpg.rf.Z1RAqZdiXgAFZmoa7IDi.jpg,202101288451078,sesi-20210128,train
202101298479349_jpg.rf.lt9TgSW5bNPzHGLZI9qE.jpg,202101298479349,sesi-20210129,train
202101308505080_jpg.rf.i432peH9qX0B41YwISYR.jpg,202101308505080,sesi-20210130,valid
202101308524403_jpg.rf.jrtdXzgNoFMvP6ZKr8s1.jpg,202101308524403,sesi-20210130,valid
202101308527130_jpg.rf.gwahiRUSFbUN5Tfbt1Vi.jpg,202101308527130,sesi-20210130,valid
202102018569862_jpg.rf.QhgRqx55LOQkfhVF1vxu.jpg,202102018569862,sesi-20210201,train
202102028602051_jpg.rf.XYImRDuyfkYDHXtKS3gu.jpg,202102028602051,sesi-20210202,train
202102038642374_jpg.rf.mjQIktX3Uj9NB7723JAP.jpg,202102038642374,sesi-20210203,valid
202102038642647_jpg.rf.X1sXB5VO5Zbbh15O6Gqc.jpg,202102038642647,sesi-20210203,valid
202102038646744_jpg.rf.JQ1CLbBa3hvw3aka8Agy.jpg,202102038646744,sesi-20210203,valid
202102038667486_jpg.rf.TWCm1xRYAQ92JRbqaqfu.jpg,202102038667486,sesi-20210203,valid
202102048687441_jpg.rf.bXLuffdrRPxT90C7b8tH.jpg,202102048687441,sesi-20210204,valid
202102048700285_jpg.rf.SLWjSjVIVmbl0sSPesgK.jpg,202102048700285,sesi-20210204,valid
202102068761775_jpg.rf.hofemcCL4TPp6eCQemt5.jpg,202102068761775,sesi-20210206,train
202102098864097_jpg.rf.rSw1DULvS6DaCLKcvKS5.jpg,202102098864097,sesi-20210209,train
202102179155180_jpg.rf.826yWVJ35QykR4RrTlZD.jpg,202102179155180,sesi-20210217,test
202102179161742_jpg.rf.Xm0Ye5i4jhrAQZjlPziB.jpg,202102179161742,sesi-20210217,test
202102179168359_jpg.rf.JPNqX0WJjWu0CaaDAJ0j.jpg,202102179168359,sesi-20210217,test
202102179172095_jpg.rf.8X8Or3tN3Ve2XUHLsExj.jpg,202102179172095,sesi-20210217,test
202102189193726_jpg.rf.bYW47UVpukba0ivpLWt8.jpg,202102189193726,sesi-20210218,train
202102209293325_jpg.rf.wKXHbrkmApBq55kgyJIs.jpg,202102209293325,sesi-20210220,train
202102269503105_jpg.rf.8xZcWCP9fY3F8XOrPQKO.jpg,202102269503105,sesi-20210226,train
202103049744596_jpg.rf.DgIwTH4kN9J5evuiEMYh.jpg,202103049744596,sesi-20210304,train
202103059768642_jpg.rf.FdJPUQLNbfKl0TWbURtN.jpg,202103059768642,sesi-20210305,train
202103069805244_jpg.rf.cINKftrnadHUeNqUhoa8.jpg,202103069805244,sesi-20210306,valid
202103069821663_jpg.rf.tQeCtM5pcvVkRRsUtNAi.jpg,202103069821663,sesi-20210306,valid
202103089871151_jpg.rf.WNpuBixwshZ6VLJ3a9yg.jpg,202103089871151,sesi-20210308,valid
