klaster,anggota,split_perwakilan,status,catatan
W173,1,train,,
W174,1,train,,
W175,1,train,,
W176,1,train,,
W177,1,train,,
W178,1,train,,
W179,1,train,,
W180,1,train,,
W181,1,train,,
W182,1,train,,
W183,1,train,,
W184,1,train,,
W185,1,train,,
W186,1,train,,
W187,1,train,,
W188,1,train,,
W189,1,train,,
W190,1,train,,
W191,1,train,,
W192,1,train,,
W193,1,train,,
W194,1,train,,
W195,1,train,,
W196,1,train,,
W197,1,train,,
W198,1,train,,
W199,1,train,,
W200,1,train,,
W201,1,train,,
W202,1,train,,
W203,1,train,,
W204,1,train,,
W205,1,train,,
W206,1,train,,
W207,1,train,,
W208,1,train,,
W209,1,train,,
W210,1,train,,
W211,1,train,,
W212,1,train,,
W213,1,train,,
W214,1,train,,
W215,1,train,,
W216,1,train,,
W217,1,train,,
W218,1,train,,
W219,1,train,,
W220,1,train,,
W221,1,train,,
W222,1,train,,
W223,1,train,,
W224,1,train,,
W225,1,train,,
W226,1,train,,
W227,1,train,,
W228,1,train,,
W229,1,train,,
W230,1,train,,
W231,1,train,,
W232,1,train,,
W233,1,train,,
W234,1,train,,
W235,1,train,,
W236,1,train,,
W237,1,train,,
W238,1,train,,
W239,1,train,,
W240,1,train,,
W241,1,train,,
W242,1,train,,
W243,1,train,,
W244,1,train,,
W245,1,train,,
W246,1,train,,
W247,1,train,,
W248,1,train,,
W249,1,train,,
W250,1,train,,
W251,1,train,,
W252,1,train,,
W253,1,train,,
W254,1,train,,
W255,1,train,,
W256,1,train,,
W257,1,train,,
W258,1,train,,
W259,1,train,,
W260,1,train,,
W261,1,train,,
W262,1,train,,
W263,1,train,,
W264,1,train,,
W265,1,train,,
W266,1,train,,
W267,1,train,,
W268,1,train,,
W269,1,train,,
W270,1,train,,
W271,1,train,,
W272,1,train,,
W273,1,train,,
W274,1,train,,
W275,1,train,,
W276,1,train,,
W277,1,train,,
W278,1,train,,
W279,1,train,,
W280,1,train,,
W281,1,train,,
W282,1,train,,
W283,1,train,,
W284,1,train,,
W285,1,train,,
W286,1,train,,
W287,1,train,,
W288,1,train,,
W289,1,train,,
W290,1,train,,
W291,1,train,,
W292,1,train,,
W293,1,train,,
W294,1,train,,
W295,1,train,,
W296,1,train,,
W297,1,train,,
W298,1,train,,
W299,1,train,,
W300,1,train,,
W301,1,train,,
W302,1,train,,
W303,1,train,,
W304,1,train,,
W305,1,train,,
W306,1,train,,
W307,1,train,,
W308,1,train,,
W309,1,train,,
W310,1,train,,
W311,1,train,,
W312,1,train,,
W313,1,train,,
W314,1,train,,
W315,1,train,,
W316,1,train,,
W317,1,train,,
W318,1,train,,
W319,1,train,,
W320,1,train,,
W321,1,train,,
W322,1,train,,
W323,1,train,,
W324,1,train,,
W325,1,train,,
W326,1,train,,
W327,1,train,,
W328,1,train,,
W329,1,train,,
W330,1,train,,
W331,1,train,,
W332,1,train,,
W333,1,train,,
W334,1,train,,
W335,1,train,,
W336,1,train,,
W337,1,train,,
W338,1,train,,
W339,1,train,,
W340,1,train,,
W341,1,train,,
W342,1,train,,
W343,1,train,,
W344,1,train,,
W345,1,train,,
W346,1,train,,
W347,1,train,,
W348,1,train,,
W349,1,train,,
W350,1,train,,
W351,1,train,,
W352,1,train,,
W353,1,train,,
W354,1,train,,
W355,1,train,,
W356,1,train,,
W357,1,train,,
W358,1,train,,
W359,1,train,,
W360,1,train,,
W361,1,train,,
W362,1,train,,
W363,1,train,,
W364,1,train,,
W365,1,train,,
W366,1,train,,
W367,1,train,,
W368,1,train,,
W369,1,train,,
W370,1,train,,
W371,1,train,,
W372,1,train,,
W373,1,train,,
W374,1,train,,
W375,1,train,,
W376,1,train,,
W377,1,train,,
W378,1,train,,
W379,1,train,,
W380,1,train,,
W381,1,train,,
W382,1,train,,
W383,1,train,,
W384,1,train,,
W385,1,train,,
W386,1,train,,
W387,1,train,,
W388,1,train,,
W389,1,train,,
W390,1,train,,
W391,1,train,,
W392,1,train,,
W393,1,train,,
W394,1,train,,
W395,1,train,,
W396,1,train,,
W397,1,train,,
W398,1,train,,
W399,1,train,,
W400,1,train,,
W401,1,train,,
W402,1,train,,
W403,1,train,,
W404,1,train,,
W405,1,train,,
W406,1,train,,
W407,1,train,,
W408,1,train,,
W409,1,train,,
W410,1,train,,
W411,1,train,,
W412,1,train,,
W413,1,train,,
W414,1,train,,
W415,1,train,,
W416,1,train,,
W417,1,train,,
W418,1,train,,
W419,1,train,,
W420,1,train,,
W421,1,train,,
W422,1,train,,
W423,1,train,,
W424,1,train,,
W425,1,train,,
W426,1,train,,
W427,1,train,,
W428,1,train,,
W429,1,train,,
W430,1,train,,
W431,1,train,,
W432,1,train,,
W433,1,train,,
W434,1,train,,
W435,1,train,,
W436,1,train,,
W437,1,train,,
W438,1,train,,
W439,1,train,,
W440,1,train,,
W441,1,train,,
W442,1,train,,
W443,1,train,,
W444,1,train,,
W445,1,train,,
W446,1,train,,
W447,1,train,,
W448,1,train,,
W449,1,train,,
W450,1,train,,
W451,1,train,,
W452,1,train,,
W453,1,train,,
W454,1,train,,
W455,1,train,,
W456,1,train,,
W457,1,train,,
W458,1,train,,
W459,1,train,,
W460,1,train,,
W461,1,train,,
W462,1,train,,
W463,1,train,,
W464,1,train,,
W465,1,train,,
W466,1,train,,
W467,1,train,,
W468,1,train,,
W469,1,train,,
W470,1,train,,
W471,1,train,,
W472,1,train,,
W473,1,train,,
W474,1,train,,
W475,1,train,,
W476,1,train,,
W477,1,train,,
W478,1,train,,
W479,1,train,,
W480,1,train,,
W481,1,train,,
W482,1,train,,
W483,1,train,,
W484,1,train,,
W485,1,train,,
W486,1,train,,
W487,1,train,,
W488,1,train,,
W489,1,train,,
W490,1,train,,
W491,1,train,,
W492,1,train,,
W493,1,train,,
W494,1,train,,
W495,1,train,,
W496,1,train,,
W497,1,train,,
W498,1,train,,
W499,1,train,,
W500,1,train,,
W501,1,train,,
W502,1,train,,
W503,1,train,,
W504,1,train,,
W505,1,train,,
W506,1,train,,
W507,1,train,,
W508,1,train,,
W509,1,train,,
W510,1,train,,
W511,1,train,,
W512,1,train,,
W513,1,train,,
W514,1,train,,
W515,1,train,,
W516,1,train,,
W517,1,train,,
W518,1,train,,
W519,1,train,,
W520,1,train,,
W521,1,train,,
W522,1,train,,
W523,1,train,,
W524,1,train,,
W525,1,train,,
W526,1,train,,
W527,1,train,,
W528,1,train,,
W529,1,train,,
W530,1,train,,
W531,1,train,,
W532,1,train,,
W533,1,train,,
W534,1,train,,
W535,1,train,,
W536,1,train,,
W537,1,train,,
W538,1,train,,
W539,1,train,,
W540,1,train,,
W541,1,train,,
W542,1,train,,
W543,1,train,,
W544,1,train,,
W545,1,train,,
W546,1,train,,
W547,1,train,,
W548,1,train,,
W549,1,train,,
W550,1,train,,
W551,1,train,,
W552,1,train,,
W553,1,train,,
W554,1,train,,
W555,1,train,,
W556,1,train,,
W557,1,train,,
W558,1,train,,
W559,1,train,,
W560,1,train,,
W561,1,train,,
W562,1,train,,
W563,1,train,,
W564,1,train,,
W565,1,train,,
W566,1,train,,
W567,1,train,,
W568,1,train,,
W569,1,train,,
W570,1,train,,
W571,1,train,,
W572,1,train,,
W573,1,train,,
W574,1,train,,
W575,1,train,,
W576,1,train,,
W577,1,train,,
W578,1,train,,
W579,1,train,,
W580,1,train,,
W581,1,train,,
W582,1,train,,
W583,1,train,,
W584,1,train,,
W585,1,train,,
W586,1,train,,
W587,1,train,,
W588,1,train,,
W589,1,train,,
W590,1,train,,
W591,1,train,,
W592,1,train,,
W593,1,train,,
W594,1,train,,
W595,1,train,,
W596,1,train,,
W597,1,train,,
W598,1,train,,
W599,1,train,,
W600,1,train,,
W601,1,train,,
W602,1,train,,
W603,1,train,,
W604,1,train,,
W605,1,train,,
W606,1,train,,
W607,1,train,,
W608,1,train,,
W609,1,train,,
W610,1,train,,
W611,1,train,,
W612,1,train,,
W613,1,train,,
W614,1,train,,
W615,1,train,,
W616,1,train,,
W617,1,train,,
W618,1,train,,
W619,1,train,,
W620,1,train,,
W621,1,train,,
W622,1,train,,
W623,1,train,,
W624,1,train,,
W625,1,train,,
W626,1,train,,
W627,1,train,,
W628,1,train,,
W629,1,train,,
W630,1,train,,
W631,1,train,,
W632,1,train,,
W633,1,train,,
W634,1,train,,
W635,1,train,,
W636,1,train,,
W637,1,train,,
W638,1,train,,
W639,1,train,,
W640,1,train,,
W641,1,train,,
W642,1,train,,
W643,1,train,,
W644,1,train,,
W645,1,train,,
W646,1,train,,
W647,1,train,,
W648,1,train,,
W649,1,train,,
W650,1,train,,
W651,1,train,,
W652,1,train,,
W653,1,train,,
W654,1,train,,
W655,1,train,,
W656,1,train,,
W657,1,train,,
W658,1,train,,
W659,1,train,,
W660,1,train,,
W661,1,train,,
W662,1,train,,
W663,1,train,,
W664,1,train,,
W665,1,train,,
W666,1,train,,
W667,1,train,,
W668,1,train,,
W669,1,train,,
W670,1,train,,
W671,1,train,,
W672,1,train,,
W673,1,train,,
W674,1,train,,
W675,1,train,,
W676,1,train,,
W677,1,train,,
W678,1,train,,
W679,1,train,,
W680,1,train,,
W681,1,train,,
W682,1,train,,
W683,1,train,,
W684,1,train,,
W685,1,train,,
W686,1,train,,
W687,1,train,,
W688,1,train,,
W689,1,train,,
W690,1,train,,
W691,1,train,,
W692,1,train,,
W693,1,train,,
W694,1,train,,
W695,1,train,,
W696,1,train,,
W697,1,train,,
W698,1,train,,
W699,1,train,,
W700,1,train,,
W701,1,train,,
W702,1,train,,
W703,1,train,,
W704,1,train,,
W705,1,train,,
W706,1,train,,
W707,1,train,,
W708,1,train,,
W709,1,train,,
W710,1,train,,
W711,1,train,,
W712,1,train,,
W713,1,train,,
W714,1,train,,
W715,1,train,,
W716,1,train,,
W717,1,train,,
W718,1,train,,
W719,1,train,,
W720,1,train,,
W721,1,train,,
W722,1,train,,
W723,1,train,,
W724,1,train,,
W725,1,train,,
W726,1,train,,
W727,1,train,,
W728,1,train,,
W729,1,train,,
W730,1,train,,
W731,1,train,,
W732,1,train,,
W733,1,train,,
W734,1,train,,
W735,1,train,,
W736,1,train,,
W737,1,train,,
W738,1,train,,
W739,1,train,,
W740,1,train,,
W741,1,train,,
W742,1,train,,
W743,1,train,,
W744,1,train,,
W745,1,train,,
W746,1,train,,
W747,1,train,,
W748,1,train,,
W749,1,train,,
W750,1,train,,
W751,1,train,,
W752,1,train,,
W753,1,train,,
W754,1,train,,
W755,1,train,,
W756,1,train,,
W757,1,train,,
W758,1,train,,
W759,1,train,,
W760,1,train,,
W761,1,train,,
W762,1,train,,
W763,1,train,,
W764,1,train,,
W765,1,train,,
W766,1,train,,
W767,1,train,,
W768,1,train,,
W769,1,train,,
W770,1,train,,
W771,1,train,,
W772,1,train,,
W773,1,train,,
W774,1,train,,
W775,1,train,,
W776,1,train,,
W777,1,train,,
W778,1,train,,
W779,1,train,,
W780,1,train,,
W781,1,train,,
W782,1,train,,
W783,1,train,,
W784,1,train,,
W785,1,train,,
W786,1,train,,
W787,1,train,,
W788,1,train,,
W789,1,train,,
W790,1,train,,
W791,1,train,,
W792,1,train,,
W793,1,train,,
W794,1,train,,
W795,1,train,,
W796,1,train,,
W797,1,train,,
W798,1,train,,
W799,1,train,,
W800,1,train,,
W801,1,train,,
W802,1,train,,
W803,1,train,,
W804,1,train,,
W805,1,train,,
W806,1,train,,
W807,1,train,,
W808,1,train,,
W809,1,train,,
W810,1,train,,
W811,1,train,,
W812,1,train,,
W813,1,train,,
W814,1,train,,
W815,1,train,,
W816,1,train,,
W817,1,train,,
W818,1,train,,
W819,1,train,,
W820,1,train,,
W821,1,train,,
W822,1,train,,
W823,1,train,,
W824,1,train,,
W825,1,train,,
W826,1,train,,
W827,1,train,,
W828,1,train,,
W829,1,train,,
W830,1,train,,
W831,1,train,,
W832,1,train,,
W833,1,train,,
W834,1,train,,
W835,1,train,,
W836,1,train,,
W837,1,train,,
W838,1,train,,
W839,1,train,,
W840,1,train,,
W841,1,train,,
W842,1,train,,
W843,1,train,,
W844,1,train,,
W845,1,train,,
W846,1,train,,
W847,1,train,,
W848,1,train,,
W849,1,train,,
W850,1,train,,
W851,1,train,,
W852,1,train,,
W853,1,train,,
W854,1,train,,
W855,1,train,,
W856,1,train,,
W857,1,train,,
W858,1,train,,
W859,1,train,,
W860,1,train,,
W861,1,train,,
W862,1,train,,
W863,1,train,,
W864,1,train,,
W865,1,train,,
W866,1,train,,
W867,1,train,,
W868,1,train,,
W869,1,train,,
W870,1,train,,
W871,1,train,,
W872,1,train,,
W873,1,train,,
W874,1,train,,
W875,1,train,,
W876,1,train,,
W877,1,train,,
W878,1,train,,
W879,1,train,,
W880,1,train,,
W881,1,train,,
W882,1,train,,
W883,1,train,,
W884,1,train,,
W885,1,train,,
W886,1,train,,
W887,1,train,,
W888,1,train,,
W889,1,train,,
W890,1,train,,
W891,1,train,,
W892,1,train,,
W893,1,train,,
W894,1,train,,
W895,1,train,,
W896,1,train,,
W897,1,train,,
W898,1,train,,
W899,1,train,,
W900,1,train,,
W901,1,train,,
W902,1,train,,
W903,1,train,,
W904,1,train,,
W905,1,train,,
W906,1,train,,
W907,1,train,,
W908,1,train,,
W909,1,train,,
W910,1,train,,
W911,1,train,,
W912,1,train,,
W913,1,train,,
W914,1,train,,
W915,1,train,,
W916,1,train,,
W917,1,train,,
W918,1,train,,
W919,1,train,,
W920,1,train,,
W921,1,train,,
W922,1,train,,
W923,1,train,,
W924,1,train,,
W925,1,train,,
W926,1,train,,
W927,1,train,,
W928,1,train,,
W929,1,train,,
W930,1,train,,
W931,1,train,,
W932,1,train,,
W933,1,train,,
W934,1,train,,
W935,1,train,,
W936,1,train,,
W937,1,train,,
W938,1,train,,
W939,1,train,,
W940,1,train,,
W941,1,train,,
W942,1,train,,
W943,1,train,,
W944,1,train,,
W945,1,train,,
W946,1,train,,
W947,1,train,,
W948,1,train,,
W949,1,train,,
W950,1,train,,
W951,1,train,,
W952,1,train,,
W953,1,train,,
W954,1,train,,
W955,1,train,,
W956,1,train,,
W957,1,train,,
W958,1,train,,
W959,1,train,,
W960,1,train,,
W961,1,train,,
W962,1,train,,
W963,1,train,,
W964,1,train,,
W965,1,train,,
W966,1,train,,
W967,1,train,,
W968,1,train,,
W969,1,train,,
W970,1,train,,
W971,1,train,,
W972,1,train,,
W973,1,train,,
W974,1,train,,
W975,1,train,,
W976,1,train,,
W977,1,train,,
W978,1,train,,
W979,1,train,,
W980,1,train,,
W981,1,train,,
W982,1,train,,
W983,1,train,,
W984,1,train,,
W985,1,train,,
W986,1,train,,
W987,1,train,,
W988,1,train,,
W989,1,train,,
W990,1,train,,
W991,1,train,,
W992,1,train,,
W993,1,train,,
W994,1,train,,
W995,1,train,,
W996,1,train,,
W997,1,train,,
W998,1,train,,
W999,1,train,,
W1000,1,train,,
W1001,1,train,,
W1002,1,train,,
W1003,1,train,,
W1004,1,train,,
W1005,1,train,,
W1006,1,train,,
W1007,1,train,,
W1008,1,train,,
W1009,1,train,,
W1010,1,train,,
W1011,1,train,,
W1012,1,train,,
W1013,1,train,,
W1014,1,train,,
W1015,1,train,,
W1016,1,train,,
W1017,1,train,,
W1018,1,train,,
W1019,1,train,,
W1020,1,train,,
W1021,1,train,,
W1022,1,train,,
W1023,1,train,,
W1024,1,train,,
W1025,1,train,,
W1026,1,train,,
W1027,1,train,,
W1028,1,train,,
W1029,1,train,,
W1030,1,train,,
W1031,1,train,,
W1032,1,train,,
W1033,1,train,,
W1034,1,train,,
W1035,1,train,,
W1036,1,train,,
W1037,1,train,,
W1038,1,train,,
W1039,1,train,,
W1040,1,train,,
W1041,1,train,,
W1042,1,train,,
W1043,1,train,,
W1044,1,train,,
W1045,1,train,,
W1046,1,train,,
W1047,1,train,,
W1048,1,train,,
W1049,1,train,,
W1050,1,train,,
W1051,1,train,,
W1052,1,train,,
W1053,1,train,,
W1054,1,train,,
W1055,1,train,,
W1056,1,train,,
W1057,1,train,,
W1058,1,train,,
W1059,1,train,,
W1060,1,train,,
W1061,1,train,,
W1062,1,train,,
W1063,1,train,,
W1064,1,train,,
W1065,1,train,,
W1066,1,train,,
W1067,1,train,,
W1068,1,train,,
W1069,1,train,,
W1070,1,train,,
W1071,1,train,,
W1072,1,train,,
W1073,1,train,,
W1074,1,train,,
W1075,1,train,,
W1076,1,train,,
W1077,1,train,,
W1078,1,train,,
W1079,1,train,,
W1080,1,train,,
W1081,1,train,,
W1082,1,train,,
W1083,1,train,,
W1084,1,train,,
W1085,1,train,,
W1086,1,train,,
W1087,1,train,,
W1088,1,train,,
W1089,1,train,,
W1090,1,train,,
W1091,1,train,,
W1092,1,train,,
W1093,1,train,,
W1094,1,train,,
W1095,1,train,,
W1096,1,train,,
W1097,1,train,,
W1098,1,train,,
W1099,1,train,,
W1100,1,train,,
W1101,1,train,,
W1102,1,train,,
W1103,1,train,,
W1104,1,train,,
W1105,1,train,,
W1106,1,train,,
W1107,1,train,,
W1108,1,train,,
W1109,1,train,,
W1110,1,train,,
W1111,1,train,,
W1112,1,train,,
W1113,1,train,,
W1114,1,train,,
W1115,1,train,,
W1116,1,train,,
W1117,1,train,,
W1118,1,train,,
W1119,1,valid,,
W1120,1,valid,,
W1121,1,valid,,
W1122,1,valid,,
W1123,1,valid,,
W1124,1,valid,,
W1125,1,valid,,
W1126,1,valid,,
W1127,1,valid,,
W1128,1,valid,,
W1129,1,valid,,
W1130,1,valid,,
W1131,1,valid,,
W1132,1,valid,,
W1133,1,valid,,
W1134,1,valid,,
W1135,1,valid,,
W1136,1,valid,,
W1137,1,valid,,
W1138,1,valid,,
W1139,1,valid,,
W1140,1,valid,,
W1141,1,valid,,
W1142,1,valid,,
W1143,1,valid,,
W1144,1,valid,,
W1145,1,valid,,
W1146,1,valid,,
W1147,1,valid,,
W1148,1,valid,,
W1149,1,valid,,
W1150,1,valid,,
W1151,1,valid,,
W1152,1,valid,,
W1153,1,valid,,
W1154,1,valid,,
W1155,1,valid,,
W1156,1,valid,,
W1157,1,valid,,
W1158,1,valid,,
W1159,1,valid,,
W1160,1,valid,,
W1161,1,valid,,
W1162,1,valid,,
W1163,1,valid,,
W1164,1,valid,,
W1165,1,valid,,
W1166,1,valid,,
W1167,1,valid,,
W1168,1,valid,,
W1169,1,valid,,
W1170,1,valid,,
W1171,1,valid,,
W1172,1,valid,,
W1173,1,valid,,
W1174,1,valid,,
W1175,1,valid,,
W1176,1,valid,,
W1177,1,valid,,
W1178,1,valid,,
W1179,1,valid,,
W1180,1,valid,,
W1181,1,valid,,
W1182,1,valid,,
W1183,1,valid,,
W1184,1,valid,,
W1185,1,valid,,
W1186,1,valid,,
W1187,1,valid,,
W1188,1,valid,,
W1189,1,valid,,
W1190,1,valid,,
W1191,1,valid,,
W1192,1,valid,,
W1193,1,valid,,
W1194,1,valid,,
W1195,1,valid,,
W1196,1,valid,,
W1197,1,valid,,
W1198,1,valid,,
W1199,1,valid,,
W1200,1,valid,,
W1201,1,valid,,
W1202,1,valid,,
W1203,1,valid,,
W1204,1,valid,,
W1205,1,valid,,
W1206,1,valid,,
W1207,1,valid,,
W1208,1,valid,,
W1209,1,valid,,
W1210,1,valid,,
W1211,1,valid,,
W1212,1,valid,,
W1213,1,valid,,
W1214,1,valid,,
W1215,1,valid,,
W1216,1,valid,,
W1217,1,valid,,
W1218,1,valid,,
W1219,1,valid,,
W1220,1,valid,,
W1221,1,valid,,
W1222,1,valid,,
W1223,1,valid,,
W1224,1,valid,,
W1225,1,valid,,
W1226,1,valid,,
W1227,1,valid,,
W1228,1,valid,,
W1229,1,valid,,
W1230,1,valid,,
W1231,1,valid,,
W1232,1,valid,,
W1233,1,valid,,
W1234,1,valid,,
W1235,1,valid,,
W1236,1,valid,,
W1237,1,valid,,
W1238,1,valid,,
W1239,1,valid,,
W1240,1,valid,,
W1241,1,valid,,
W1242,1,valid,,
W1243,1,valid,,
W1244,1,valid,,
W1245,1,valid,,
W1246,1,valid,,
W1247,1,valid,,
W1248,1,valid,,
W1249,1,valid,,
W1250,1,valid,,
W1251,1,valid,,
W1252,1,valid,,
W1253,1,valid,,
W1254,1,valid,,
W1255,1,valid,,
W1256,1,valid,,
W1257,1,valid,,
W1258,1,valid,,
W1259,1,valid,,
W1260,1,valid,,
W1261,1,valid,,
W1262,1,valid,,
W1263,1,valid,,
W1264,1,valid,,
W1265,1,valid,,
W1266,1,valid,,
W1267,1,valid,,
W1268,1,valid,,
W1269,1,valid,,
W1270,1,valid,,
W1271,1,valid,,
W1272,1,valid,,
W1273,1,valid,,
W1274,1,valid,,
W1275,1,valid,,
W1276,1,valid,,
W1277,1,valid,,
W1278,1,valid,,
W1279,1,valid,,
W1280,1,valid,,
W1281,1,valid,,
W1282,1,valid,,
W1283,1,valid,,
W1284,1,valid,,
W1285,1,valid,,
W1286,1,valid,,
W1287,1,valid,,
W1288,1,valid,,
W1289,1,valid,,
W1290,1,valid,,
W1291,1,valid,,
W1292,1,valid,,
W1293,1,valid,,
W1294,1,valid,,
W1295,1,valid,,
W1296,1,valid,,
W1297,1,valid,,
W1298,1,valid,,
W1299,1,valid,,
W1300,1,valid,,
W1301,1,valid,,
W1302,1,valid,,
W1303,1,valid,,
W1304,1,valid,,
W1305,1,valid,,
W1306,1,valid,,
W1307,1,valid,,
W1308,1,valid,,
W1309,1,valid,,
W1310,1,valid,,
W1311,1,valid,,
W1312,1,valid,,
W1313,1,valid,,
W1314,1,valid,,
W1315,1,valid,,
W1316,1,valid,,
W1317,1,valid,,
W1318,1,valid,,
W1319,1,valid,,
W1320,1,valid,,
W1321,1,valid,,
W1322,1,valid,,
W1323,1,valid,,
W1324,1,valid,,
W1325,1,valid,,
W1326,1,valid,,
W1327,1,valid,,
W1328,1,valid,,
W1329,1,valid,,
W1330,1,valid,,
W1331,1,valid,,
W1332,1,valid,,
W1333,1,valid,,
W1334,1,valid,,
W1335,1,valid,,
W1336,1,valid,,
W1337,1,test,,
W1338,1,test,,
W1339,1,test,,
W1340,1,test,,
W1341,1,test,,
W1342,1,test,,
W1343,1,test,,
W1344,1,test,,
W1345,1,test,,
W1346,1,test,,
W1347,1,test,,
W1348,1,test,,
W1349,1,test,,
W1350,1,test,,
W1351,1,test,,
W1352,1,test,,
W1353,1,test,,
W1354,1,test,,
W1355,1,test,,
W1356,1,test,,
W1357,1,test,,
W1358,1,test,,
W1359,1,test,,
W1360,1,test,,
W1361,1,test,,
W1362,1,test,,
W1363,1,test,,
W1364,1,test,,
W1365,1,test,,
W1366,1,test,,
W1367,1,test,,
W1368,1,test,,
W1369,1,test,,
W1370,1,test,,
W1371,1,test,,
W1372,1,test,,
W1373,1,test,,
W1374,1,test,,
W1375,1,test,,
W1376,1,test,,
W1377,1,test,,
W1378,1,test,,
W1379,1,test,,
W1380,1,test,,
W1381,1,test,,
W1382,1,test,,
W1383,1,test,,
W1384,1,test,,
W1385,1,test,,
W1386,1,test,,
W1387,1,test,,
W1388,1,test,,
W1389,1,test,,
W1390,1,test,,
W1391,1,test,,
W1392,1,test,,
W1393,1,test,,
W1394,1,test,,
W1395,1,test,,
W1396,1,test,,
W1397,1,test,,
W1398,1,test,,
W1399,1,test,,
W1400,1,test,,
W1401,1,test,,
W1402,1,test,,
W1403,1,test,,
W1404,1,test,,
W1405,1,test,,
W1406,1,test,,
W1407,1,test,,
W1408,1,test,,
W1409,1,test,,
W1410,1,test,,
W1411,1,test,,
W1412,1,test,,
W1413,1,test,,
W1414,1,test,,
W1415,1,test,,
W1416,1,test,,
W1417,1,test,,
W1418,1,test,,
W1419,1,test,,
W1420,1,test,,
W1421,1,test,,
W1422,1,test,,
W1423,1,test,,
W1424,1,test,,
W1425,1,test,,
W1426,1,test,,
W1427,1,test,,
W1428,1,test,,
W1429,1,test,,
W1430,1,test,,
W1431,1,test,,
W1432,1,test,,
W1433,1,test,,
W1434,1,test,,
W1435,1,test,,
W1436,1,test,,
W1437,1,test,,
W1438,1,test,,
W1439,1,test,,
W1440,1,test,,
W1441,1,test,,
W1442,1,test,,
W1443,1,test,,
W1444,1,test,,
W1445,1,test,,
W1446,1,test,,
W1447,1,test,,
W1448,1,test,,
W1449,1,test,,
W1450,1,test,,
W1451,1,test,,
