klaster,nama_berkas,split,anggota_klaster,perwakilan
W012,T72_png.rf.uj8ipMVfDwRzlcDrGbe5.png,train,3,
W013,mitsubishi-canter-339fdca1_jpg.rf.wJZvLjDMEghdgsnsZ8ji.jpg,train,3,ya
W013,gol3_13_jpg.rf.EUw4y3CrsU878zH50Nbp.jpg,test,3,
W013,gol3_1_jpg.rf.BlTDS3Afhc5fhlJJjAn6.jpg,test,3,
W014,202010295574060_jpg.rf.XVYXTMD3JD138afEGhx6.jpg,valid,3,ya
W014,202103290719104_jpg.rf.I2t29v4Y3g6Q7OIOQfxp.jpg,valid,3,
W014,202012116998536_jpg.rf.AsG6uki2QsY8S2d1g0zP.jpg,test,3,
W015,Image_013225_jpg.rf.BfN12ARxfelgiVlDR9Se.jpg,valid,3,ya
W015,Image_013378_jpg.rf.PaUN9jbFYwCSd47pFOPY.jpg,valid,3,
W015,Image_013416_jpg.rf.wnIGJJbqBELLw3fC3BIY.jpg,valid,3,
W016,Image_013232_jpg.rf.3UpoqqYWOQ6LEiXgWWoT.jpg,valid,3,ya
W016,Image_013476_jpg.rf.m1eua2Ghxw4nsSSQ1E2C.jpg,valid,3,
W016,Image_013505_jpg.rf.drTXbPR0r88OutOAuG4O.jpg,valid,3,
W017,Image_013251_jpg.rf.tZ7YwiaSMzjbL8kUts9B.jpg,valid,3,ya
W017,Image_013404_jpg.rf.iSsK1XG58Xjz8S0YJHfs.jpg,valid,3,
W017,Image_013445_jpg.rf.mm6WBZE0TnEpQYZaUjHn.jpg,valid,3,
W018,Image_013281_jpg.rf.icCvD3ZBKW10YQhuwE3O.jpg,valid,3,ya
W018,Image_013357_jpg.rf.dHZ8Mszcfh2fddwdzVaK.jpg,valid,3,
W018,Image_013604_jpg.rf.RhcoppJYW1hNazVGhZbG.jpg,valid,3,
W019,Image_013338_jpg.rf.vocLZb0Dw7zfGaJaZVk3.jpg,valid,3,ya
W019,Image_013497_jpg.rf.MbN4PWlgKjUk4onVbsBi.jpg,valid,3,
W019,Image_013572_jpg.rf.KOAvxZoZFerTFXgZgDvN.jpg,valid,3,
W020,Image_013345_jpg.rf.oltaJr4cOsYFv3O718NS.jpg,valid,3,ya
W020,Image_013419_jpg.rf.j7n73RaanBdwsMt2a6Vg.jpg,valid,3,
W020,Image_013462_jpg.rf.uITRLSQ8gTmAVXjTcKIj.jpg,valid,3,
W021,Image_013371_jpg.rf.Ll3JHdsYsX7H3q6VnWjW.jpg,valid,3,ya
W021,Image_013427_jpg.rf.BuUoQMdyEfjfLxHea6Nj.jpg,valid,3,
W021,Image_013575_jpg.rf.N2LNHj29iYfuF1hhfwxX.jpg,valid,3,
W022,Image_013398_jpg.rf.MBLLHmrhfjW6QtxpsxE8.jpg,valid,3,ya
W022,Image_013415_jpg.rf.XrphinyseqDrkqzrLFTs.jpg,valid,3,
W022,Image_013592_jpg.rf.KIOACr4rCWKjth8hj04B.jpg,valid,3,
W023,2010-mitsubishi-fuso-fe145-12ft-box-_jpg.rf.6Dbn8wUOhxgWWYT395GE.jpg,train,2,ya
W023,gol5_56_jpg.rf.hNwILuSecYHus3VCC9Qg.jpg,valid,2,
W024,202003118281574_jpg.rf.Y5Qvvou92czKqscnE24P.jpg,train,2,ya
W024,gol5_13_jpg.rf.9nt7wXLTzYYthi03B969.jpg,valid,2,
W025,202011105965869_jpg.rf.gpnrb3yJAVAy5bs3KHx9.jpg,train,2,ya
W025,202010265448683_jpg.rf.yDK15bISuiQP0Bd7bl4A.jpg,test,2,
W026,202101117854072_jpg.rf.5YBRHFvL8GnABZK1OeBb.jpg,train,2,ya
W026,202103190329292_jpg.rf.RT0UHVQBzQarDvHMk7aP.jpg,test,2,
W027,202101188092986_jpg.rf.EzxY0lxa26n9lAJ3PFmg.jpg,train,2,ya
W027,202102038642374_jpg.rf.mjQIktX3Uj9NB7723JAP.jpg,valid,2,
W028,2_297_jpg.rf.ddTOOdhrwd3Xrxd8JeRN.jpg,train,2,ya
W028,2_490_jpg.rf.LlNjLkp3DxjeYeD0Eh3J.jpg,train,2,
W029,3059_en_43493_17596_fuso_canter_fg4x_jpg.rf.fCs5JQa7OuOZhAfQLcma.jpg,train,2,ya
W029,gol3_18_jpg.rf.x6sXfWvcTvpCueXjS1Ux.jpg,test,2,
W030,33921_medium_buskota_jpg.rf.qHHzvKAvUTFgrwepvnCj.jpg,train,2,ya
W030,bus-2Bdamri_jpg.rf.EAXxm40i5Ys3opa50xJ5.jpg,train,2,
W031,Bus-2BDamri-2BJakarta-2B2_jpg.rf.8ChDNDjWGtAWh9qRGUFx.jpg,train,2,ya
W031,bus-2Bdamri-min_jpg.rf.0SHcUMh7whFAdfM3w6My.jpg,train,2,
W032,Bus-Damri-Bandara-Juanda-696x383_png.rf.HIDzyPK9rZbRUowg72mE.jpg,train,2,ya
W032,Damri-Mojokerto-Juanda-Sudah-Beroper_jpg.rf.wRClQn2gdT6FJEW8JHlM.jpg,train,2,
W033,DAMRI-1-1_jpg.rf.0TFpmlAmDb1wVNCiCj58.jpg,train,2,ya
W033,DAMRI-1_jpg.rf.AT7bV1prNajcmJp7ePpw.jpg,valid,2,
W034,Damri-8_jpg.rf.tJvTEQ0iQCyanbKmyMPt.jpg,train,2,ya
W034,GO_Bus-1200_jpg.rf.SrLOezZqSIgPYSGuZgip.jpg,train,2,
W035,Damri-Bandara-2_jpg.rf.mSewHhFvRf9R5N3SSs3l.jpg,train,2,ya
W035,PhotoPictureResizer_190706_193341020-1_jpg.rf.KImL1aKtFsHCOCrkClkL.jpg,train,2,
W036,Jadwal-2BKeberangkatan-2BBus-2Bdamri_jpg.rf.5iJpfbmg0UdHKPwGeCC6.jpg,train,2,ya
W036,damri-768x434_jpg.rf.rVzaQoewkDH69rM4eYB1.jpg,train,2,
W037,T10_png.rf.gMAvNkq91QZFAVXxAyaG.png,train,2,ya
W037,T58_png.rf.ZsVVHyOB5HzUdEDnTA4j.png,train,2,
W038,T15_png.rf.ZOeQY1J3zYf3wXuFWcku.png,train,2,ya
W038,T35_png.rf.MEc9SMuPqxVYaN7HKTz7.png,train,2,
W039,T20_png.rf.b7RJAgbFGtdb0C2YJYt6.png,train,2,ya
W039,T78_png.rf.UMNhawNdkisZ0kKhQCyx.png,train,2,
W040,T4_png.rf.0Th9jUZUaqxC6r1Mvavo.png,train,2,ya
W040,T57_png.rf.kjIMmOBrSZ2tvTCAL656.png,train,2,
W041,T63_png.rf.GIMsw0znOKNVeiBEp3tZ.png,train,2,ya
W041,T8_png.rf.MHxLZDtH1BoSwD5KWGjn.png,train,2,
W042,T68_png.rf.TBqbRqGYa5KvKYk8p5wa.png,train,2,ya
W042,T73_png.rf.TYfH8d3UCrMzQm57mXQg.png,train,2,
W043,Untitled-design-60-1_png.rf.GkHucrtJfZqEZHOqjtwv.jpg,train,2,ya
W043,gol5_61_jpg.rf.T5kcQt6uRx279aYn8Nhw.jpg,valid,2,
W044,WhatsApp-Image-2021-04-19-at-14-47-0-1_jpg.rf.VHukkTEUgiP9uXfmt2LF.jpg,train,2,ya
W044,WhatsApp-Image-2021-04-19-at-14-47-0_jpg.rf.U7whlaDjw4a01fKWpFsH.jpg,train,2,
W045,c28552fd-ead4-4f25-a8ec-cc5e22391208_jpg.rf.WitHLUQzeeBhA0EMuLLy.jpg,train,2,ya
W045,gol2_64_jpg.rf.B1oCnvprc8XjWLRfQPws.jpg,train,2,
W046,chiang-mai-thailand-september-privat_jpg.rf.drbyBGHcz06eatiwRCmT.jpg,train,2,ya
W046,202104201585510_jpg.rf.0Ij3dpB4e0jWQ3ay8hYD.jpg,test,2,
W047,damri22_jpg.rf.EWpkTfaGCpQQJ6e9UvYx.jpg,train,2,ya
W047,Bus-Damri-3_jpg.rf.wrzhOvfFFUcLXQBj2ODh.jpg,test,2,
W048,gol2_15_jpg.rf.hxdGMeEIIcqZlDnot8Qi.jpg,train,2,ya
W048,gol2_25_jpg.rf.MYu4T5pRv3BtKd83tOGl.jpg,train,2,
W049,gol2_1_jpg.rf.OriHAdtKhyc5ajqHS49b.jpg,train,2,ya
W049,gol2_24_jpg.rf.se2rKpXBRdF3joABPEjR.jpg,train,2,
W050,gol2_22_jpg.rf.Bjo6ZfZayiRqiixENJWx.jpg,train,2,ya
W050,gol2_3_jpg.rf.W3Gv14guRmwEe8uyk23E.jpg,train,2,
W051,gol2_23_jpg.rf.Hm5mK25GwBMKKd86omUH.jpg,train,2,ya
W051,gol2_56_jpg.rf.Q46HKM7QiL7pKY9gbGTy.jpg,train,2,
W052,gol2_26_jpg.rf.ETWsxnIwUyBHp2Wga8Mp.jpg,train,2,ya
W052,gol2_53_jpg.rf.cFiTHuSwKegi5cPM4zj5.jpg,train,2,
W053,gol2_27_jpg.rf.fLIyuKSaled4Nxe59GwI.jpg,train,2,ya
W053,gol2_8_jpg.rf.2gRcjnD05MwAyxASfWxN.jpg,train,2,
W054,gol2_29_jpg.rf.WOobQZ1hneAwWXgRKvAb.jpg,train,2,ya
W054,gol2_47_jpg.rf.5Dxr2B9lsPkZrUIYNAAK.jpg,train,2,
W055,gol2_30_jpg.rf.y6GQj2rWDXQf5dvB4qpv.jpg,train,2,ya
W055,gol2_6_jpg.rf.KtQ8qgek9agjneqPXCQf.jpg,train,2,
W056,gol2_33_jpg.rf.5aR5MVaYVQWDVnUiGNFH.jpg,train,2,ya
W056,gol2_4_jpg.rf.6Wy0Zw2ToCsi0BaT19l7.jpg,train,2,
W057,202101308527130_jpg.rf.gwahiRUSFbUN5Tfbt1Vi.jpg,valid,2,ya
W057,202103089885056_jpg.rf.LOmCNeYThNb0VziUODuu.jpg,valid,2,
W058,202103120063538_jpg.rf.IysOOxphf3WwJSxQfji2.jpg,valid,2,ya
W058,202103120063538_jpg.rf.sqyEmsLQQgVNunxkmyt4.jpg,valid,2,
W059,Image_013203_jpg.rf.U02pMo1ywahiyDlWc0i1.jpg,valid,2,ya
W059,Image_013288_jpg.rf.JIlbTZuAIhGXxZKGFi7P.jpg,valid,2,
W060,Image_013220_jpg.rf.8XBXDmri6GGDgjZiTQjT.jpg,valid,2,ya
W060,Image_013343_jpg.rf.MNbYxjpufN12Bw3AiAJx.jpg,valid,2,
W061,Image_013247_jpg.rf.sdYtUsZ8ZSY2yTWzo9cO.jpg,valid,2,ya
W061,Image_013389_jpg.rf.NNNnGH8GpexAkAqLh8rP.jpg,valid,2,
W062,Image_013249_jpg.rf.vveQGaQyB0V7hOaBueVG.jpg,valid,2,ya
W062,Image_013422_jpg.rf.an9xFcZAHIxvBhK891uZ.jpg,valid,2,
W063,Image_013253_jpg.rf.k5X5XTsbyvkFYZ1zRi4C.jpg,valid,2,ya
W063,Image_013327_jpg.rf.SdLR9GXxsFLYM1c4Xe4t.jpg,valid,2,
W064,Image_013260_jpg.rf.a25hLQGJYoLgeQ6mOEuD.jpg,valid,2,ya
W064,Image_013479_jpg.rf.zOMAD6n2estHPVayNTUy.jpg,valid,2,
W065,Image_013276_jpg.rf.pRzd0WuGCHXFOKd9x7gR.jpg,valid,2,ya
W065,Image_013304_jpg.rf.reMYGye0n8zECruGnEmx.jpg,valid,2,
W066,Image_013303_jpg.rf.9uuvG7t8EJeKAJVMOMKg.jpg,valid,2,ya
W066,Image_013509_jpg.rf.zGRlgjoeGiHnNEBr8VzU.jpg,valid,2,
W067,Image_013306_jpg.rf.xL5zPjKf4DEKpMo3JRO1.jpg,valid,2,ya
W067,Image_013458_jpg.rf.p5SzHucg0VgK9IwzA9W3.jpg,valid,2,
W068,Image_013339_jpg.rf.HP8SPVrtKOmNMOS8oAXF.jpg,valid,2,ya
W068,Image_013446_jpg.rf.F1bpl7CkvFuU4krbXk27.jpg,valid,2,
W069,Image_013342_jpg.rf.gFzwNk82YPQqLyMsRYGW.jpg,valid,2,ya
W069,Image_013388_jpg.rf.Go4Jd7xmtJg6GYbi1GXx.jpg,valid,2,
W070,Image_013369_jpg.rf.o3Vv0KYTCtwVoADjrmRc.jpg,valid,2,ya
W070,Image_013511_jpg.rf.o4unOEvDu00QZZQX7yVm.jpg,valid,2,
W071,Image_013433_jpg.rf.sFblMlDohFL24iOE4AiS.jpg,valid,2,ya
W071,Image_013602_jpg.rf.CitjL8l6cjrh2Qa1Lh59.jpg,valid,2,
W072,Image_013475_jpg.rf.jXKu6jObqKcfuPHIjXIO.jpg,valid,2,ya
W072,Image_013560_jpg.rf.YlS3Wu107FzXdWWGMDN0.jpg,valid,2,
W073,Image_013499_jpg.rf.BenbfFgZX4RTZJTUB9Mp.jpg,valid,2,ya
W073,Image_013499_jpg.rf.lJxhJua8lA8LHiaeffyj.jpg,valid,2,
W074,Image_013503_jpg.rf.y49vR1GmwjLW0sUORhgN.jpg,valid,2,ya
W074,Image_013518_jpg.rf.IRXx6tojaXtgc0QHC49Q.jpg,valid,2,
W075,Image_013539_jpg.rf.0NpQYIg8x9Oe5zIgsuR4.jpg,valid,2,ya
W075,Image_013590_jpg.rf.JyljcdoRsNIm8diJqWDV.jpg,valid,2,
W076,bus-damri-mojokerto-juanda_jpg.rf.dIpnnWPF7zPjYcskjKDC.jpg,valid,2,ya
W076,bus-damri-mojokerto-juanda_jpg.rf.eNmeNzQKkF2IzPSifS8W.jpg,valid,2,
W077,download-game-simulasi-mengemudikan-_png.rf.2GghHe21vCsoSgACaOjc.jpg,valid,2,ya
W077,download-game-simulasi-mengemudikan-_png.rf.59dPdKKolxfTtsp5OXYw.jpg,valid,2,
W078,gambar-20200225_zT2210_jpg.rf.C0MboIoDTax6rO5vrh3k.jpg,valid,2,ya
W078,gambar-20200225_zT2210_jpg.rf.goJiVOsnZO8I94phlSER.jpg,valid,2,
W079,gol5_15_jpg.rf.F0IENsJ3WF3bqABqJA4x.jpg,valid,2,ya
W079,gol5_40_jpg.rf.xLDpWUmbyuTe3GKsE72n.jpg,valid,2,
W080,gol5_22_jpg.rf.ApOF8M6k7IhMfjX9bh5T.jpg,valid,2,ya
W080,gol5_33_jpg.rf.K3DTDwm87wYxIBbIuHfi.jpg,valid,2,
W081,gol5_23_jpg.rf.PjYsNvt1Ae3lccwwtktZ.jpg,valid,2,ya
W081,gol5_57_jpg.rf.0DzcmYXYPqsS8KrO855z.jpg,valid,2,
W082,gol5_38_jpg.rf.70RVTPo7uWe6ASGsiWLW.jpg,valid,2,ya
W082,gol5_68_jpg.rf.9p4e9JcG1YRfNl4Cwr7J.jpg,valid,2,
W083,jadwal-bus-damri-jakarta-bandung-630_jpg.rf.v2RJx4bAcufHBfhvxDFs.jpg,valid,2,ya
W083,jadwal-bus-damri-jakarta-bandung_jpg.rf.1m3jamVC41MfJSk5qbdu.jpg,valid,2,
W084,2005-mitsubishi-fuso-fm260-18ft-dies-2_jpg.rf.p2kHTS3QvWRWWjkjyf5R.jpg,test,2,ya
W084,2005-mitsubishi-fuso-fm260-18ft-dies_jpg.rf.kqzVHj7ekIbyccscNANB.jpg,test,2,
W085,202104191536509_jpg.rf.IKJIBEIrNSkUgNzcvFhE.jpg,test,2,ya
W085,202104191536509_jpg.rf.VHESV3jQpJOt8xfGQLAy.jpg,test,2,
W086,IMG_5455-1_jpg.rf.L5CPMLJYqcbdr9kpveGT.jpg,test,2,ya
W086,IMG_5455-2_jpg.rf.9ONGNci8v0KQrLDqmktI.jpg,test,2,
W087,gol3_12_jpg.rf.Elb3dV8dXqJUvPHRyvOG.jpg,test,2,ya
W087,gol3_24_jpg.rf.nAd7Hp22iWX05BXpiRZp.jpg,test,2,
W088,gol3_22_jpg.rf.WbY88wJCaGBx54lAL4rv.jpg,test,2,ya
W088,gol3_4_jpg.rf.3C7ydLSI3451w2IRbkrY.jpg,test,2,
W089,gol3_23_jpg.rf.ZjNPBxm0ChJQlhSj9AKO.jpg,test,2,ya
W089,gol4_6_jpg.rf.vpXqYchUflB3KqvhjDek.jpg,test,2,
W090,gol4_10_jpg.rf.K94f7fV20YKgCbCFsHds.jpg,test,2,ya
W090,gol4_3_jpg.rf.isdTfKihT4QL8ljoyLu2.jpg,test,2,
W091,gol4_15_jpg.rf.8zwSCLP0K6Uy5CcMllgX.jpg,test,2,ya
W091,gol4_2_jpg.rf.IOzTG9InsjWhhCzMw2WQ.jpg,test,2,
W092,gol4_7_jpg.rf.b5i1F3mmz5z6oPwGRRxm.jpg,test,2,ya
W092,gol4_9_jpg.rf.8HgJqCbnb2iBuUfD1v0t.jpg,test,2,
W093,-3163ca687f_jpg.rf.ccjchxzodm0rACM8v8Mw.jpg,train,1,ya
W094,-_200626220003-827-1_jpg.rf.NBiOJ28pPTBTP8b7SUUw.jpg,train,1,ya
W095,-_57_jpg.rf.Rl9E7Xo7wPDCwMA6Kmyw.jpg,train,1,ya
W096,-c7cae33d7d_jpg.rf.KMuFwRLy2IX8rntALXw4.jpg,train,1,ya
W097,-e38a6febcc_jpg.rf.2skMY6FWTJYInGTKmxps.jpg,train,1,ya
W098,0000147617-e4eb190337827f8bbbcc9317d_jpg.rf.s0aluoQHE3XMNRThAgYp.jpg,train,1,ya
W099,0000161190-eff4a7d6440628a6ed58e9d9a_jpg.rf.K9KZavCD3OWsUKFlMavf.jpg,train,1,ya
W100,0046490bus1780x390_jpg.rf.4X2sb1dVqwi3z3js8BTJ.jpg,train,1,ya
W101,010_LS25_jpg.rf.kbnxvBAmVuTJ5fwJ54Up.jpg,train,1,ya
W102,013877-1-lg_jpg.rf.hQfy6f5auJqRzGwNcnZ9.jpg,train,1,ya
W103,018_jpg.rf.0XFeoyZQ48aVSPqgpeqq.jpg,train,1,ya
W104,031213065446_jpg.rf.KoL0iGXEo17dLpmiBktF.jpg,train,1,ya
W105,031213082113_jpg.rf.GPbsRn023cYNGve7V7a5.jpg,train,1,ya
W106,077006000_1466184933-kepala_kuning_jpg.rf.ut2EPnAV6KYmeFdZgdYH.jpg,train,1,ya
W107,07bus-service2_jpg.rf.iviHNzCUeFZDj7zifxPe.jpg,train,1,ya
W108,0ed5b30d578ecfa7a65f-1296x954_jpg.rf.eZa3yZ0Bpot5RwD3Z5o9.jpg,train,1,ya
W109,1048309-1000xauto-bus-klub-indonesia_jpg.rf.rTX8N391lugPT5hgHUrX.jpg,train,1,ya
W110,10486057103_d8a7fd109b_b_jpg.rf.oLCjUNV5aNU5SZgcO7yH.jpg,train,1,ya
W111,10_JPG_jpg.rf.ZQUYB4hIvBygOTZCgAXS.jpg,train,1,ya
W112,1131506fuso1780x390_jpg.rf.N898UbrjOPzEn56mq7w0.jpg,train,1,ya
W113,11546_Sb4733_14_jpg.rf.hT06HP2mHYo32oRe51R8.jpg,train,1,ya
W114,12745909_911990905563681_71866727339_jpg.rf.Z5KEZ6gFdgw25kuyrtuW.jpg,train,1,ya
W115,12988780_MTAwMC03OTUtYTcxNGRiOGUwZQ_jpg.rf.8lz0Os79I8z4nGjMI4kv.jpg,train,1,ya
W116,1365-_jpg.rf.51misGtBLzUj4L1RdowA.jpg,train,1,ya
W117,13661875-825756007524474-53594221530_jpg.rf.YICOgtrQYHvuMjUm5UEj.jpg,train,1,ya
W118,1500x500_jpg.rf.0r00Az34JeLKH3C2vzoP.jpg,train,1,ya
W119,1553233damri780x390_jpg.rf.rLLAB7tMKodSAmDpCIkY.jpg,train,1,ya
W120,1559104773084_png_jpg.rf.aFpcCAI8oS558FuPu3MJ.jpg,train,1,ya
W121,15690333345d858c76c4523_1--2-_jpeg_jpg.rf.l2tvZ6trUIEKQUklvGSb.jpg,train,1,ya
W122,15832118185e5de52ab6203_1_jpeg_jpg.rf.T0A6AkfOITDe1L8Wn5BZ.jpg,train,1,ya
W123,15838034105e66ec12e5fcb_1_jpeg_jpg.rf.BSlt567alkRUPxeQZojk.jpg,train,1,ya
W124,1585052231_bigbus1-jpg_jpg.rf.pMFic0kBiXvPwpAByovH.jpg,train,1,ya
W125,15865708705e912676c62ec_1_jpeg_jpg.rf.xvV6ax3p5qn5dT0PYG5R.jpg,train,1,ya
W126,1598286031-20130714_082914-1024x768_jpg.rf.HpX39XFfCmkCvPKAOrJL.jpg,train,1,ya
W127,16095712995ff01be38f194_1_jpeg_jpg.rf.3y2DpzHoVO0YY96FdUc2.jpg,train,1,ya
W128,16100655265ff7a67692bbe_1_jpeg_jpg.rf.jbuCbA2ONRnP3Pj4v7Xp.jpg,train,1,ya
W129,16106091855ffff2217285d_1--2-_jpeg_jpg.rf.fYYIeGDzvgk414Ivx1tc.jpg,train,1,ya
W130,16127363856_2a23581a99_b-0_jpg.rf.CXmq6xRFH6rgqnoiTcm7.jpg,train,1,ya
W131,1613083111_jpg.rf.FYc1RBOB2E6jykBDZkzg.jpg,train,1,ya
W132,161483562560406fa90b7d6_1_jpeg_jpg.rf.aAtkmmDLtKcoH0V5zq8T.jpg,train,1,ya
W133,1616649101605c1b8d5bded_1_jpeg_jpg.rf.SKW4WB0ZJZOWxCiY35Pk.jpg,train,1,ya
W134,168583-12979673_jpg.rf.AUK65Gk1hbsne8rm41nj.jpg,train,1,ya
W135,171_jpg.rf.R0bhkNqFON0xLBaOIePV.jpg,train,1,ya
W136,17828_5789ACS01_2_jpg.rf.hIyHP5yUmWhxWu180ccK.jpg,train,1,ya
W137,17828_5789AHS01_17-1_jpg.rf.2kkA48uFTbarb4DwAy0D.jpg,train,1,ya
W138,17828_6080AFS01_7-1_jpg.rf.K1xPhAVcmkfLVs9J9HE5.jpg,train,1,ya
W139,1839353249_jpg.rf.J9KnzlTZ9MoKsyskIzC1.jpg,train,1,ya
W140,184-07_jpg.rf.htxoGssoBtMcM3xkTmik.jpg,train,1,ya
W141,19575a5n4f_jpg.rf.8v4JuMitQiOzLrKFntd1.jpg,train,1,ya
W142,1986-Mitsubishi-FM_34050076-l_jpg.rf.O0dYSjOSS6g1kkgrZqx1.jpg,train,1,ya
