peringkat,nama,split,skor,frac_datar,dikenal
33,1616649101605c1b8d5bded_1_jpeg_jpg.rf.SKW4WB0ZJZOWxCiY35Pk.jpg,train,0.0000,0.400,
34,171_jpg.rf.R0bhkNqFON0xLBaOIePV.jpg,train,0.0000,0.401,
35,17828_5789ACS01_2_jpg.rf.hIyHP5yUmWhxWu180ccK.jpg,train,0.0000,0.402,
36,17828_5789AHS01_17-1_jpg.rf.2kkA48uFTbarb4DwAy0D.jpg,train,0.0000,0.405,
37,17828_6080AFS01_7-1_jpg.rf.K1xPhAVcmkfLVs9J9HE5.jpg,train,0.0000,0.400,
38,1839353249_jpg.rf.J9KnzlTZ9MoKsyskIzC1.jpg,train,0.0000,0.400,
39,184-07_jpg.rf.htxoGssoBtMcM3xkTmik.jpg,train,0.0000,0.401,
40,19575a5n4f_jpg.rf.8v4JuMitQiOzLrKFntd1.jpg,train,0.0000,0.402,
41,1986-Mitsubishi-FM_34050076-l_jpg.rf.O0dYSjOSS6g1kkgrZqx1.jpg,train,0.0000,0.401,
42,1990-mitsubishi-fuso-fk-flatbed-dump_jpg.rf.KKYYPXfvPjYSuUmCe39E.jpg,train,0.0000,0.401,
43,1992-Mitsubishi-FUSO-Fighter-private_jpg.rf.9bXq0p3ezO2s4JjNoQYO.jpg,train,0.0000,0.401,
44,1997-mitsubishi-fuso-fh211-20-ft-box_jpg.rf.Wm81SW7P5tHqXwYm0hDq.jpg,train,0.0000,0.403,
45,1997_mitsubishi_fuso_cab_over_box_tr-1_jpg.rf.vqv9kOhwQp6YIe7km51K.jpg,train,0.0000,0.401,
46,1BCE466D-FE13-4738-8CE1-752980A1622F_jpg.rf.gn4m5u6D7ZFwvuMYDnp7.jpg,train,0.0000,0.401,
47,2000-Mitsubishi-Fuso-68-3886156_1_jpg.rf.4FzKh1VxVEP0LPmX49KU.jpg,train,0.0000,0.400,
48,2000-mitsubishi-fuso-fe639-diesel-bo_jpg.rf.TZR3LLyLsLACQFJyb0yA.jpg,train,0.0000,0.401,
49,2000-mitsubishi-fuso-fm617-box-truck_jpg.rf.3OTDeaA86X2KCXOTT0P6.jpg,train,0.0000,0.404,
50,2001-mitsubishi-fuso-fe649-diesel-11_jpg.rf.srgUPJXpGFv5FEFnEIoY.jpg,train,0.0000,0.415,
51,2003-mitsubishi-fuso-box-truck-26253_jpg.rf.l1ogXMrGVTRvrrx78MjH.jpg,train,0.0000,0.402,
52,2004-mitsubishi-fh-fuso-cab-and-chas_jpg.rf.83vgQYzkhXqeLr1xM6ZW.jpg,train,0.0000,0.401,
53,2004-mitsubishi-fuso-box-van-body-tr_jpg.rf.0v9mW8Me26uMdTbWqh2P.jpg,train,0.0000,0.406,
54,2005-mitsubishi-fuso-fm260-24ft-box-_jpg.rf.eLhWYXBLiNHq4I2Ol53t.jpg,train,0.0000,0.404,
55,2006-mitsubishi-fuso-fe140-16-box-tr_jpg.rf.1cDjGxItqxSHjNc4Uz0x.jpg,train,0.0000,0.404,
56,2006-mitsubishi-fuso-fm260-cars-in-r_jpg.rf.3atklsmzhmxLL5N5NR4G.jpg,train,0.0000,0.400,
57,2007-Mitsubishi-Fuso-Fighter-FK600_5_jpg.rf.l0JgCJbrJnD1bvfff3lI.jpg,train,0.0000,0.400,
58,2007-mitsubishi-fuso-fe-140-landscap-1_jpg.rf.2H3LFOLObnUYwhCOjvmZ.jpg,train,0.0000,0.401,
59,2007-mitsubishi-fuso-fk200-24ft-box-1_jpg.rf.GMxQ4Fv1KTOJ4etH2Uv9.jpg,train,0.0000,0.405,
60,2008-mitsubishi-fuso-wrecker-tow-tru-1_jpg.rf.I1CDQwYMLSGDAbJZXOoC.jpg,train,0.0000,0.403,
61,2010-mitsubishi-fuso-26-ft-box-truck_jpg.rf.gLkMggl9JGv8uMVLSbxR.jpg,train,0.0000,0.400,
62,2010-mitsubishi-fuso-fe145-12ft-box-1_jpg.rf.GwEj4du5UasAfa42SrnG.jpg,train,0.0000,0.410,
63,2010-mitsubishi-fuso-fe145-12ft-box-_jpg.rf.6Dbn8wUOhxgWWYT395GE.jpg,train,0.0000,0.404,
64,2012-04-08-16-00-45-Copy_jpg.rf.02b6N8bLxDTpJCEozUAg.jpg,train,0.0000,0.402,
65,2012-05-19-14-47-41_jpg.rf.vjpiYoSsxruWcoMaD6Hp.jpg,train,0.0000,0.405,
66,2012-06-04-13-47-36_jpg.rf.aMrMcIDXuHNzsLnjcYZE.jpg,train,0.0000,0.407,
67,2012-11-26-09-11-19-2_jpg.rf.drvtCAjDDjNn4hZpqv9u.jpg,train,0.0000,0.403,
68,2012-mitsubishi-fuso-canter-fe160-du_jpg.rf.KN2GdacMBih2T69Z5JQB.jpg,train,0.0000,0.401,
69,20121009_123807_jpg.rf.udycMpIEfYtaNUUr9UNJ.jpg,train,0.0000,0.400,
70,2013-05-28-07-36-09_jpg.rf.dAbM8ikGnbXcIWulDqGY.jpg,train,0.0000,0.403,
71,2013-Mitsubishi-18ft-Refrigerated-Va_jpg.rf.t4FWBweHRDzyUVyuPQin.jpg,train,0.0000,0.402,
72,2013-Mitsubishi-Fuso-Canter-7C15-PBU_jpg.rf.SUCGbB0dy3QxoHzttisQ.jpg,train,0.0000,0.401,
73,20130601_104548_jpg.rf.JLdU4c6rrlp5m7MObF1y.jpg,train,0.0000,0.400,
74,20130712092311711_jpg.rf.ZtJTDFnzeDgNvHGno8Uq.jpg,train,0.0000,0.403,
75,2014-mitsubishi-fuso-fe160-14-feet-b_jpg.rf.KAOwU6jvjKscwC0DxTVq.jpg,train,0.0000,0.406,
76,2015-Mitsubishi-Fuso-Canter-7C15-4x2-1_jpg.rf.aLDkqGlvJyz4HE9K8Pf5.jpg,train,0.0000,0.402,
77,2015-mitsubishi-fuso-fe180-dual-tech_jpg.rf.cSEYZkb6aM7ryCigTIRa.jpg,train,0.0000,0.404,
78,2016_Pink_Bus_Side_2-5694faf30153d_jpg.rf.kQ8BeC9Kzuhj3DV2Qav4.jpg,train,0.0000,0.401,
79,201707170712_fuso-1024x512_jpg.rf.fNXAmII2Z4oWzIEdt7ya.jpg,train,0.0000,0.400,
80,20170820170814udtrucks-2-1024x542_jpg.rf.1Qwsuhe5wfd9Bs1jjdQW.jpg,train,0.0000,0.401,
81,20170820170831fuso-1-1024x674_jpg.rf.eGhYZlpjprueen9n47v9.jpg,train,0.0000,0.402,
82,20171120171117volvo-2_jpg.rf.TegkjqZ9J0MGuHkIijO5.jpg,train,0.0000,0.401,
83,201802153766039_jpg.rf.I7QSd1kiuyHuwBgfDzjj.jpg,train,0.0000,0.404,
84,201811212628734_jpg.rf.pVlyuVr8vSlEmgKTW7SY.jpg,train,0.0000,0.402,
85,201907180193097_jpg.rf.XVuO6qh8y0UtINaidkGH.jpg,train,0.0000,0.404,
86,201908291631929_jpg.rf.1mBuvFFkxuAHzO72SVDj.jpg,train,0.0000,0.400,
87,201910022856907_jpg.rf.Tve5URmM5odQL6PgJPLw.jpg,train,0.0000,0.401,
88,201911134318402_jpg.rf.rnY5YufBAcfdsshXa44k.jpg,train,0.0000,0.400,
89,201911274791996_jpg.rf.xb7UlcMQjh9IJ41WhunS.jpg,train,0.0000,0.400,
90,201912065091481_jpg.rf.uUpsPyVAQvoQF10uFgYV.jpg,train,0.0000,0.403,
91,202001065830933_jpg.rf.68mCIVULSN8X3R2EiFio.jpg,train,0.0000,0.400,
92,202001316814739_jpg.rf.DhSFdt3FOw2Ld4pSWGkB.jpg,train,0.0000,0.401,
93,202002056988643_jpg.rf.NWiBf39bKhyJAVQh7G2G.jpg,train,0.0000,0.401,
94,202002197506403_jpg.rf.XiFDHKjZYbjbbzyiXbv3.jpg,train,0.0000,0.401,
95,202003278769684_jpg.rf.e7C6opzCc5c4pIWBceJI.jpg,train,0.0000,0.402,
96,202004098907520_jpg.rf.zBDTjgtYwSh9faxxqosa.jpg,train,0.0000,0.401,
97,202005159339270_jpg.rf.rxaCWjlWyMJs5WNJG02d.jpg,train,0.0000,0.402,
98,202005179380063_jpg.rf.qQKig5CDzcFrthahQSw0.jpg,train,0.0000,0.403,
99,202005209438910_jpg.rf.PsvdSfiIDtOiDlC4Cx5E.jpg,train,0.0000,0.400,
100,202006029718364_jpg.rf.MgVQIxQ7lnNjHpY0PgPy.jpg,train,0.0000,0.405,
101,202006230427756_jpg.rf.HWAdkNuafgLLvUBxG7NO.jpg,train,0.0000,0.401,
102,202009224056905_jpg.rf.NrV1u0Lc4GNUgTyVY9wk.jpg,train,0.0000,0.401,
103,202009294341174_jpg.rf.PnzivErZgHnZ0YkS0QjR.jpg,train,0.0000,0.403,
104,202010034560843_jpg.rf.2vDmzfZx6LOEfleCF3j3.jpg,train,0.0000,0.401,
105,202010054625092_jpg.rf.NKYG9N7HXWTVMLidXI7e.jpg,train,0.0000,0.402,
106,202010124912669_jpg.rf.RPjHymC5lZwDGZ1GOVMU.jpg,train,0.0000,0.401,
107,202010225303345_jpg.rf.wsJ9GTjQhsT7lM2iZY1F.jpg,train,0.0000,0.401,
108,202010275477424_jpg.rf.2k4RPHRxCAHkWJeg7VbI.jpg,train,0.0000,0.431,
109,202010285539616_jpg.rf.jem2zOnjqQxzSUgXRTMW.jpg,train,0.0000,0.400,
110,202010315642930_jpg.rf.yprPbS4NbVPQC66MthmV.jpg,train,0.0000,0.403,
111,202011105965869_jpg.rf.gpnrb3yJAVAy5bs3KHx9.jpg,train,0.0000,0.401,
112,202011146111399_jpg.rf.9dllAWO2bi5IMzauH9UE.jpg,train,0.0000,0.400,
113,202011166161501_jpg.rf.tNGutm3PeRxJDtIwvd6g.jpg,train,0.0000,0.401,
114,202011246441650_jpg.rf.8v7G4jzFEBa6GmhRyIHD.jpg,train,0.0000,0.402,
115,202011266499977_jpg.rf.s8xzsyY14ewVNUh6XIZc.jpg,train,0.0000,0.402,
116,202012106961192_jpg.rf.wtxnnyj8dVutZWfbrgct.jpg,train,0.0000,0.401,
117,202012237363017_jpg.rf.UbG3DZGQiSqvn3bhl9FB.jpg,train,0.0000,0.407,
118,202012317526123_jpg.rf.NW5amcgWnKjizeGEGSiS.jpg,train,0.0000,0.403,
119,202101057649698_jpg.rf.9wx3fLm5oWy7jbbLZVq4.jpg,train,0.0000,0.404,
120,202101117854072_jpg.rf.5YBRHFvL8GnABZK1OeBb.jpg,train,0.0000,0.404,
121,202101157995164_jpg.rf.u9kH3mYrIAdg77ouj6MQ.jpg,train,0.0000,0.401,
122,202101178052430_jpg.rf.WfQFYpPyNqjvYhSNLYvb.jpg,train,0.0000,0.402,
123,202101188092986_jpg.rf.EzxY0lxa26n9lAJ3PFmg.jpg,train,0.0000,0.401,
124,202101198128317_jpg.rf.mrJwsoG5tl0BKaOjje7u.jpg,train,0.0000,0.400,
125,202101218224836_jpg.rf.wLvRqhVfPmvPqHwu3BnX.jpg,train,0.0000,0.406,
126,202101258335334_jpg.rf.yTzIbfiXQ57DD5uEoktG.jpg,train,0.0000,0.401,
127,202101288451078_jpg.rf.Z1RAqZdiXgAFZmoa7IDi.jpg,train,0.0000,0.401,
128,202101298479349_jpg.rf.lt9TgSW5bNPzHGLZI9qE.jpg,train,0.0000,0.400,
129,202102028602051_jpg.rf.XYImRDuyfkYDHXtKS3gu.jpg,train,0.0000,0.402,
130,202102098864097_jpg.rf.rSw1DULvS6DaCLKcvKS5.jpg,train,0.0000,0.400,
131,202102169117160_jpg.rf.0xdIXdTL90kpj4Mild8L.jpg,train,0.0000,0.403,
132,202102189193726_jpg.rf.bYW47UVpukba0ivpLWt8.jpg,train,0.0000,0.401,
133,202102199229786_jpg.rf.z5IjRhpauOJadDPVyHQi.jpg,train,0.0000,0.402,
134,202103039712776_jpg.rf.tVNsXd1l6GH6PZ3R63It.jpg,train,0.0000,0.405,
135,202103049744596_jpg.rf.DgIwTH4kN9J5evuiEMYh.jpg,train,0.0000,0.402,
136,202103059768642_jpg.rf.FdJPUQLNbfKl0TWbURtN.jpg,train,0.0000,0.405,
137,202103109969901_jpg.rf.TSpgplsoLRLzI9nruAgg.jpg,train,0.0000,0.400,
138,202103300774562_jpg.rf.MyJ1EOQeSLLzxyh8aRib.jpg,train,0.0000,0.403,
139,202104010878926_jpg.rf.90GoJn7mOPJ2IqgTzYwj.jpg,train,0.0000,0.400,
140,202104020885875_jpg.rf.MkIkdUIBPzivmgDjDWBM.jpg,train,0.0000,0.400,
141,202104061036947_jpg.rf.fz5UhK1NehCHtGVKCGhc.jpg,train,0.0000,0.402,
142,202104101196294_jpg.rf.25Jb6rdqRLX3c172afyI.jpg,train,0.0000,0.400,
143,202104131320662_jpg.rf.vEaxWou2XC9BoIQyxgyJ.jpg,train,0.0000,0.400,
144,20220912_15_1159286_L_jpg.rf.yWh0ibCIMdaXEr36SNm7.jpg,train,0.0000,0.404,
145,2075377982_jpg.rf.ZcAfzhzdZgH3yRpSW6zP.jpg,train,0.0000,0.400,
146,21452_NT130964_2-1_jpg.rf.iIGjAn3vgcdGez7rJHZw.jpg,train,0.0000,0.400,
147,21452_NT789-1_19-1_jpg.rf.POsF3bgeBeWwnQMQ98Mf.jpg,train,0.0000,0.401,
148,23-DAMRI_jpg.rf.Zy0R0EFsldVfuBaOMmAI.jpg,train,0.0000,0.403,
149,23-seat-Tata-LP-713-Bus-at-the-2014-1_jpg.rf.Yi1hhVSCDfQZd3LJFoo6.jpg,train,0.0000,0.401,
150,2351_jpg.rf.Y4xzO5ENXSfyaXe6jmga.jpg,train,0.0000,0.401,
151,2465_da8fe53a59ef60c6eb3ea78b89ee30c_jpg.rf.pkN3s0Cuhnfbmn6T5d1O.jpg,train,0.0000,0.404,
152,25397-colt-fe-truk-mitsubishi-colt-d_jpg.rf.bo0KlNGH8Qbvmjtmilot.jpg,train,0.0000,0.403,
153,272_jpg.rf.AA6tjXuNKPjfxkpzUq1b.jpg,train,0.0000,0.404,
154,2788_1807600_1_jpg.rf.af1tFrXQJSNxba4DpMJ7.jpg,train,0.0000,0.402,
155,28195696955_7921782be8_b_jpg.rf.XbQLL7xJxDaYKAUgMzLM.jpg,train,0.0000,0.402,
156,2_106_jpg.rf.LkrmFj6Juh7FLTIEwxO6.jpg,train,0.0000,0.404,
157,2_14_jpg.rf.f7ivOv4kUYKrL9yhPguA.jpg,train,0.0000,0.402,
158,2_165_jpg.rf.FvnFUAks3M3602LimPVL.jpg,train,0.0000,0.405,
159,2_16_jpg.rf.L1plBbfrwWP4qRaKc9e4.jpg,train,0.0000,0.401,
160,2_176_jpg.rf.goow0G8iQauTyKkgCNtZ.jpg,train,0.0000,0.406,
161,2_184_jpg.rf.21hX8CPXX42FcOhobrFC.jpg,train,0.0000,0.400,
162,2_18_jpg.rf.6vtexJ1rxxWrLf3cU9Zk.jpg,train,0.0000,0.405,
163,2_192_jpg.rf.oKVP3xJ63Kh0Hnzu6Rty.jpg,train,0.0000,0.402,
164,2_201_jpg.rf.243M17znJTnz0DdlbhmR.jpg,train,0.0000,0.401,
165,2_214_jpg.rf.hsNTlksMHWzcboa74Ksn.jpg,train,0.0000,0.404,
166,2_226_jpg.rf.GggCw7Cy7YcwSTfKwoQ9.jpg,train,0.0000,0.404,
167,2_247_jpg.rf.kSKDBpF6mUpjFnej6xxt.jpg,train,0.0000,0.402,
168,2_252_jpg.rf.deitOMvOptwr96KkvXJF.jpg,train,0.0000,0.401,
169,2_267_jpg.rf.79dR2xVZuJIX2DjC8IFQ.jpg,train,0.0000,0.405,
170,2_278_jpg.rf.ETaQA9IWajx3oi3bGc4i.jpg,train,0.0000,0.401,
171,2_281_jpg.rf.WiTpaseduUkvPT8MhBq9.jpg,train,0.0000,0.403,
172,2_284_jpg.rf.WKYAwTlt2UKi8bw4kSds.jpg,train,0.0000,0.404,
173,2_299_jpg.rf.7KlZRAA1gfGcFXBCd9Q2.jpg,train,0.0000,0.400,
174,2_304_jpg.rf.1G2R3DvX191XM9CutvNF.jpg,train,0.0000,0.406,
175,2_30_jpg.rf.eYyz7sNIcUllsOeOXJxx.jpg,train,0.0000,0.402,
176,2_318_jpg.rf.ZETOfgE2WLdA9oRLFN2e.jpg,train,0.0000,0.400,
177,2_325_jpg.rf.d2Bw1WjRP3XXDJnDljle.jpg,train,0.0000,0.402,
178,2_334_jpg.rf.6z7g6eBLRv9VH16eEJKU.jpg,train,0.0000,0.401,
179,2_345_jpg.rf.9Y3W103uF53QobNzrm5L.jpg,train,0.0000,0.411,
180,2_352_jpg.rf.SJAQQNQlShwtoTuDHtlk.jpg,train,0.0000,0.402,
181,2_381_jpg.rf.ViwaSVP5yjQVOiaMPrNa.jpg,train,0.0000,0.403,
182,2_409_jpg.rf.zFpsoXzOjZIutReVxElS.jpg,train,0.0000,0.405,
183,2_434_jpg.rf.DyMHOoVVWuIbpSeptXJY.jpg,train,0.0000,0.409,
184,2_445_jpg.rf.DTW0dRIBkGYSCwn2Ys5B.jpg,train,0.0000,0.402,
185,2_459_jpg.rf.KLOBz9bdvLUNt2vOsTId.jpg,train,0.0000,0.400,
186,2_45_jpg.rf.0MbVgA3cgOXGGEFv5HBx.jpg,train,0.0000,0.401,
187,2_479_jpg.rf.wyDQBdbyUlJELb2TlVzS.jpg,train,0.0000,0.405,
188,2_543_jpg.rf.pJeodJnuBTXziZCCysEn.jpg,train,0.0000,0.402,
189,2_545_jpg.rf.HSXBW1RlaYr7Jg2NL3EW.jpg,train,0.0000,0.400,
190,2_549_jpg.rf.t8gntJYaRkYzThHg2y1i.jpg,train,0.0000,0.401,
191,2_553_jpg.rf.8PuyjduewDC3PXcpaSR5.jpg,train,0.0000,0.402,
192,2_558_jpg.rf.wlumFZA7GEb8wrKj564X.jpg,train,0.0000,0.414,
193,2_57_jpg.rf.8hxLZ7KEaOt7vBpbADgA.jpg,train,0.0000,0.400,
194,2_589_jpg.rf.JwvefmT6QnuUYSWGAiJe.jpg,train,0.0000,0.401,
195,2_624_jpg.rf.5iDskVCWqjuixnNqaEHI.jpg,train,0.0000,0.400,
196,2_627_jpg.rf.7Vcmhx1kmZF3PKamNSTW.jpg,train,0.0000,0.400,
197,2_638_jpg.rf.toTjf4hA1G37xeBLxA6J.jpg,train,0.0000,0.401,
198,2_641_jpg.rf.OSN2AF6T2MkjfwzlCENz.jpg,train,0.0000,0.408,
199,2_642_jpg.rf.150fiewoZeQXn7Suc1lC.jpg,train,0.0000,0.404,
200,2_649_jpg.rf.LHh0DRNkEb45s1sBxRCO.jpg,train,0.0000,0.401,
201,2_64_jpg.rf.2mWatyF9H9GTcTHca3JA.jpg,train,0.0000,0.402,
202,2_662_jpg.rf.jhrOKk7tBOneSM2x4adN.jpg,train,0.0000,0.400,
203,2_671_jpg.rf.BvSjw2xyZThAJ1aqiEl4.jpg,train,0.0000,0.402,
204,2_695_jpg.rf.PhGPSgbgthSfkq2l7Ito.jpg,train,0.0000,0.402,
205,2_738_jpg.rf.sh2BgxYsOiULjOtNFa0x.jpg,train,0.0000,0.405,
206,2_745_jpg.rf.2QV3w7UX0IR931JF8riS.jpg,train,0.0000,0.401,
207,2_746_jpg.rf.eXEuNzr2SpnQsACwfBSi.jpg,train,0.0000,0.402,
208,2_775_jpg.rf.Qh2lAiPMnMzkwCtbNlmJ.jpg,train,0.0000,0.401,
209,2_834_jpg.rf.y2tsVv5k9Duq4NsWcjzD.jpg,train,0.0000,0.400,
210,2_850_jpg.rf.JQiOwDoGesQqa3kK3h6S.jpg,train,0.0000,0.400,
211,2_857_jpg.rf.3mjICygrkUj3aAg0HmSE.jpg,train,0.0000,0.400,
212,2_879_jpg.rf.LXwxf67lNuszaDhQeTsq.jpg,train,0.0000,0.403,
213,2_922_jpg.rf.EjoEZJDl2UJ1cPUhfWXP.jpg,train,0.0000,0.401,
214,2_92_jpg.rf.PtxdDoXO7VFIW1vR6quR.jpg,train,0.0000,0.401,
215,2_946_jpg.rf.3ilVg60iXdNgPmCCGXwe.jpg,train,0.0000,0.400,
216,2_964_jpg.rf.DtWjHV9z8SVq9f9mfoON.jpg,train,0.0000,0.400,
217,2_966_jpg.rf.HITWLV8Ewk7Z6CKtN9S2.jpg,train,0.0000,0.407,
218,2_975_jpg.rf.magvqyGB6t2f4j8xAYM2.jpg,train,0.0000,0.402,
219,30087455_211830202737680_98609079714_jpg.rf.qQd4m3jLgo3PvEGlYhmX.jpg,train,0.0000,0.401,
220,30364-1_jpg.rf.bVfedxyZvXRGIZ2ITUGs.jpg,train,0.0000,0.401,
221,3040974006_jpg.rf.EFJJnATVx2CYYDg8loR6.jpg,train,0.0000,0.401,
222,3059_en_43493_17596_fuso_canter_fg4x_jpg.rf.fCs5JQa7OuOZhAfQLcma.jpg,train,0.0000,0.409,
223,3096_jpg.rf.yatbw34i0VhoBDRDSzGY.jpg,train,0.0000,0.400,
224,313510045_orig_png.rf.6roCzBbJwBfhaYmogyAg.jpg,train,0.0000,0.406,
225,3173ec56-a792-47ff-9b18-79fc37729b95_jpg.rf.9m7cS0UpNH4ZsldCE322.jpg,train,0.0000,0.405,
226,3496818818_jpg.rf.xlqIMJ4CdouxrCTYEf1K.jpg,train,0.0000,0.403,
227,3534274-foto-camion_jpg.rf.WYB8J9ktzrPnhVc3RSA7.jpg,train,0.0000,0.401,
228,36484_48363_248254_jpg.rf.2OeA6UvktwtnqrctsRaQ.jpg,train,0.0000,0.406,
229,394_jpg.rf.ZGs0Y3mtkhPBTjqh1uKb.jpg,train,0.0000,0.402,
230,3_58_jpg.rf.GHhKpQmUTi4UBXCZNHLs.jpg,train,0.0000,0.400,
231,41728_53604_276708_jpg.rf.GIQRxPqjd1Mj2kz6gqhR.jpg,train,0.0000,0.404,
232,4209015271_jpg.rf.SbP1Gsg1Zf69QldRK2oI.jpg,train,0.0000,0.404,
233,494_jpg.rf.A3FK3mfYOjppCx8Us9XJ.jpg,train,0.0000,0.404,
234,5-Fighter_jpg.rf.j00GZMK3ew905NPldn9O.jpg,train,0.0000,0.402,
235,57877d_jpg.rf.BvUIXAejH25r9tMdLSap.jpg,train,0.0000,0.402,
236,59ae4f1e1759ef51024bbe3162d3eac0_jpg.rf.XnnWE3AJr2J09p0v9GBm.jpg,train,0.0000,0.401,
237,5a1e37db78f66_jpg.rf.YjNfkWocvTyGq1YnphnA.jpg,train,0.0000,0.403,
238,5bebae449da3571a3c784f34_jpg.rf.t9zy5r0ho8CPpUVQcRQ1.jpg,train,0.0000,0.403,
239,5e70c09022be7_jpg.rf.0u8akFegb9aL0dLCF9Xg.jpg,train,0.0000,0.401,
240,5ede2220cb901_jpg.rf.9xOuYqLi3ABYF2FgHkqI.jpg,train,0.0000,0.400,
241,5f2bcc12568b2_jpg.rf.A3BIMxFZpYtBLW7wRt3G.jpg,train,0.0000,0.401,
242,5f33b93e9cb5c_jpg.rf.8csLEbZpyiQ143ZDCXQm.jpg,train,0.0000,0.401,
243,5f630068e794c-jpg_jpg.rf.A7qVc6TDRWEn8TJ0v45n.jpg,train,0.0000,0.401,
244,5fc5f27b748a8_jpg.rf.BjvbGsMzp6zDoePyK4JP.jpg,train,0.0000,0.402,
245,6007950747_jpg.rf.6uoeDx0lGAFEzVkucwP4.jpg,train,0.0000,0.402,
246,60a56bfcc7a8f59d9b5985b53a1ecc9a_jpg.rf.pdowd5l7NN6LTQiMQ0yj.jpg,train,0.0000,0.401,
247,6320646c88aca-generasi-terbaru-dari-_jpg.rf.DVnovOLNwjLIgpfVfHm0.jpg,train,0.0000,0.402,
248,636c52a2-2185-61da-7f4f69e6100998dd_jpg.rf.14btAiTkBOEgFZ8qWcdR.jpg,train,0.0000,0.400,
249,65827a_jpg.rf.a1wt85ZsMGasM4RnmfwX.jpg,train,0.0000,0.403,
250,66036_10151300360847220_625112810_n_jpg.rf.zyKaOQEL6Yrxsem00vgR.jpg,train,0.0000,0.401,
251,662019142246_jpg.rf.C2FFMOjYw5JqOkug0qh0.jpg,train,0.0000,0.423,
252,6ed4bc32-ec4f-475a-996d-64ad159da3ea_jpg.rf.rckq6yQlNzXVapaLgNH3.jpg,train,0.0000,0.400,
